,baa
1985-01,13.26
1985-02,13.23
1985-03,13.69
1985-04,13.51
1985-05,13.15
1985-06,12.4
1985-07,12.43
1985-08,12.5
1985-09,12.48
1985-10,12.36
1985-11,11.99
1985-12,11.58
1986-01,11.44
1986-02,11.11
1986-03,10.5
1986-04,10.19
1986-05,10.29
1986-06,10.34
1986-07,10.16
1986-08,10.18
1986-09,10.2
1986-10,10.24
1986-11,10.07
1986-12,9.97
1987-01,9.72
1987-02,9.65
1987-03,9.61
1987-04,10.04
1987-05,10.51
1987-06,10.52
1987-07,10.61
1987-08,10.8
1987-09,11.31
1987-10,11.62
1987-11,11.23
1987-12,11.29
1988-01,11.07
1988-02,10.62
1988-03,10.57
1988-04,10.9
1988-05,11.04
1988-06,11.0
1988-07,11.11
1988-08,11.21
1988-09,10.9
1988-10,10.41
1988-11,10.48
1988-12,10.65
1989-01,10.65
1989-02,10.61
1989-03,10.67
1989-04,10.61
1989-05,10.46
1989-06,10.03
1989-07,9.87
1989-08,9.88
1989-09,9.91
1989-10,9.81
1989-11,9.81
1989-12,9.82
1990-01,9.94
1990-02,10.14
1990-03,10.21
1990-04,10.3
1990-05,10.41
1990-06,10.22
1990-07,10.2
1990-08,10.41
1990-09,10.64
1990-10,10.74
1990-11,10.62
1990-12,10.43
1991-01,10.45
1991-02,10.07
1991-03,10.09
1991-04,9.94
1991-05,9.86
1991-06,9.96
1991-07,9.89
1991-08,9.65
1991-09,9.51
1991-10,9.49
1991-11,9.45
1991-12,9.26
1992-01,9.13
1992-02,9.23
1992-03,9.25
1992-04,9.21
1992-05,9.13
1992-06,9.05
1992-07,8.84
1992-08,8.65
1992-09,8.62
1992-10,8.84
1992-11,8.96
1992-12,8.81
1993-01,8.67
1993-02,8.39
1993-03,8.15
1993-04,8.14
1993-05,8.21
1993-06,8.07
1993-07,7.93
1993-08,7.6
1993-09,7.34
1993-10,7.31
1993-11,7.66
1993-12,7.69
1994-01,7.65
1994-02,7.76
1994-03,8.13
1994-04,8.52
1994-05,8.62
1994-06,8.65
1994-07,8.8
1994-08,8.74
1994-09,8.98
1994-10,9.2
1994-11,9.32
1994-12,9.1
1995-01,9.08
1995-02,8.85
1995-03,8.7
1995-04,8.6
1995-05,8.2
1995-06,7.9
1995-07,8.04
1995-08,8.19
1995-09,7.93
1995-10,7.75
1995-11,7.68
1995-12,7.49
1996-01,7.47
1996-02,7.63
1996-03,8.03
1996-04,8.19
1996-05,8.3
1996-06,8.4
1996-07,8.35
1996-08,8.18
1996-09,8.35
1996-10,8.07
1996-11,7.79
1996-12,7.89
1997-01,8.09
1997-02,7.94
1997-03,8.18
1997-04,8.34
1997-05,8.2
1997-06,8.02
1997-07,7.75
1997-08,7.82
1997-09,7.7
1997-10,7.57
1997-11,7.42
1997-12,7.32
1998-01,7.19
1998-02,7.25
1998-03,7.32
1998-04,7.33
1998-05,7.3
1998-06,7.13
1998-07,7.15
1998-08,7.14
1998-09,7.09
1998-10,7.18
1998-11,7.34
1998-12,7.23
1999-01,7.29
1999-02,7.39
1999-03,7.53
1999-04,7.48
1999-05,7.72
1999-06,8.02
1999-07,7.95
1999-08,8.15
1999-09,8.2
1999-10,8.38
1999-11,8.15
1999-12,8.19
2000-01,8.33
2000-02,8.29
2000-03,8.37
2000-04,8.4
2000-05,8.9
2000-06,8.48
2000-07,8.35
2000-08,8.26
2000-09,8.35
2000-10,8.34
2000-11,8.28
2000-12,8.02
2001-01,7.93
2001-02,7.87
2001-03,7.84
2001-04,8.07
2001-05,8.07
2001-06,7.97
2001-07,7.97
2001-08,7.85
2001-09,8.03
2001-10,7.91
2001-11,7.81
2001-12,8.05
2002-01,7.87
2002-02,7.89
2002-03,8.11
2002-04,8.03
2002-05,8.09
2002-06,7.95
2002-07,7.9
2002-08,7.58
2002-09,7.4
2002-10,7.73
2002-11,7.62
2002-12,7.45
2003-01,7.35
2003-02,7.06
2003-03,6.95
2003-04,6.85
2003-05,6.38
2003-06,6.19
2003-07,6.62
2003-08,7.01
2003-09,6.79
2003-10,6.73
2003-11,6.66
2003-12,6.6
2004-01,6.44
2004-02,6.27
2004-03,6.11
2004-04,6.46
2004-05,6.75
2004-06,6.78
2004-07,6.62
2004-08,6.46
2004-09,6.27
2004-10,6.21
2004-11,6.2
2004-12,6.15
2005-01,6.02
2005-02,5.82
2005-03,6.06
2005-04,6.05
2005-05,6.01
2005-06,5.86
2005-07,5.95
2005-08,5.96
2005-09,6.03
2005-10,6.3
2005-11,6.39
2005-12,6.32
2006-01,6.24
2006-02,6.27
2006-03,6.41
2006-04,6.68
2006-05,6.75
2006-06,6.78
2006-07,6.76
2006-08,6.59
2006-09,6.43
2006-10,6.42
2006-11,6.2
2006-12,6.22
2007-01,6.34
2007-02,6.28
2007-03,6.27
2007-04,6.39
2007-05,6.39
2007-06,6.7
2007-07,6.65
2007-08,6.65
2007-09,6.59
2007-10,6.48
2007-11,6.4
2007-12,6.65
2008-01,6.54
2008-02,6.82
2008-03,6.89
2008-04,6.97
2008-05,6.93
2008-06,7.07
2008-07,7.16
2008-08,7.15
2008-09,7.31
2008-10,8.88
2008-11,9.21
2008-12,8.43
2009-01,8.14
2009-02,8.08
2009-03,8.42
2009-04,8.39
2009-05,8.06
2009-06,7.5
2009-07,7.09
2009-08,6.58
2009-09,6.31
2009-10,6.29
2009-11,6.32
2009-12,6.37
2010-01,6.25
2010-02,6.34
2010-03,6.27
2010-04,6.25
2010-05,6.05
2010-06,6.23
2010-07,6.01
2010-08,5.66
2010-09,5.66
2010-10,5.72
2010-11,5.92
2010-12,6.1
2011-01,6.09
2011-02,6.15
2011-03,6.03
2011-04,6.02
2011-05,5.78
2011-06,5.75
2011-07,5.76
2011-08,5.36
2011-09,5.27
2011-10,5.37
2011-11,5.14
2011-12,5.25
2012-01,5.23
2012-02,5.14
2012-03,5.23
2012-04,5.19
2012-05,5.07
2012-06,5.02
2012-07,4.87
2012-08,4.91
2012-09,4.84
2012-10,4.58
2012-11,4.51
2012-12,4.63
2013-01,4.73
2013-02,4.85
2013-03,4.85
2013-04,4.59
2013-05,4.73
2013-06,5.19
2013-07,5.32
2013-08,5.42
2013-09,5.47
2013-10,5.31
2013-11,5.38
2013-12,5.38
2014-01,5.19
2014-02,5.1
2014-03,5.06
2014-04,4.9
2014-05,4.76
2014-06,4.8
2014-07,4.73
2014-08,4.69
2014-09,4.8
2014-10,4.69
2014-11,4.79
2014-12,4.74
2015-01,4.45
2015-02,4.51
2015-03,4.54
2015-04,4.48
2015-05,4.89
2015-06,5.13
2015-07,5.2
2015-08,5.19
2015-09,5.34
2015-10,5.34
2015-11,5.46
2015-12,5.46
2016-01,5.45
2016-02,5.34
2016-03,5.13
2016-04,4.79
2016-05,4.68
2016-06,4.53
2016-07,4.22
2016-08,4.24
2016-09,4.31
2016-10,4.38
2016-11,4.71
2016-12,4.83
2017-01,4.66
2017-02,4.64
2017-03,4.68
2017-04,4.57
2017-05,4.55
2017-06,4.37
2017-07,4.39
2017-08,4.31
2017-09,4.3
2017-10,4.32
2017-11,4.27
2017-12,4.22
2018-01,4.26
2018-02,4.51
2018-03,4.64
2018-04,4.67
2018-05,4.83
2018-06,4.83
2018-07,4.79
2018-08,4.77
2018-09,4.88
2018-10,5.07
2018-11,5.22
2018-12,5.13
2019-01,5.12
2019-02,4.95
2019-03,4.84
2019-04,4.7
2019-05,4.63
2019-06,4.46
2019-07,4.28
2019-08,3.87
2019-09,3.91
2019-10,3.92
2019-11,3.94
2019-12,3.88
2020-01,3.77
2020-02,3.61
2020-03,4.29
2020-04,4.13
2020-05,3.95
2020-06,3.64
2020-07,3.31
2020-08,3.27
2020-09,3.36
2020-10,3.44
2020-11,3.3
2020-12,3.16
2021-01,3.24
2021-02,3.42
2021-03,3.74
2021-04,3.6
2021-05,3.62
2021-06,3.44
2021-07,3.24
2021-08,3.24
2021-09,3.23
2021-10,3.35
2021-11,3.28
2021-12,3.3
2022-01,3.58
2022-02,3.97
2022-03,4.29
2022-04,4.66
2022-05,5.12
2022-06,5.27
2022-07,5.21
2022-08,5.15
2022-09,5.69
2022-10,6.26
2022-11,6.07
2022-12,5.59
2023-01,5.5
2023-02,5.59
2023-03,5.71
2023-04,5.53
2023-05,5.77
2023-06,5.75
2023-07,5.74
2023-08,6.02
2023-09,6.16
2023-10,6.63
2023-11,6.29
2023-12,5.64
2024-01,5.68
2024-02,5.77
2024-03,5.75
2024-04,6.0
2024-05,5.95
2024-06,5.82
2024-07,5.84
2024-08,5.6
2024-09,5.42
2024-10,5.63
2024-11,5.78
2024-12,5.8
2025-01,6.08
2025-02,5.92
2025-03,5.93
2025-04,6.18
2025-05,6.29
2025-06,6.15
2025-07,6.1
2025-08,6.0
2025-09,5.83
2025-10,5.74
2025-11,5.86
2025-12,5.9
2026-01,5.88
2026-02,5.81
2026-03,6.04
2026-04,6.03
2026-05,6.1
2026-06,6.0
2026-07,6.19
