,be10
2003-01,1.76
2003-02,1.91
2003-03,1.87
2003-04,1.78
2003-05,1.66
2003-06,1.61
2003-07,1.87
2003-08,2.13
2003-09,2.08
2003-10,2.21
2003-11,2.34
2003-12,2.29
2004-01,2.26
2004-02,2.32
2004-03,2.36
2004-04,2.45
2004-05,2.63
2004-06,2.58
2004-07,2.48
2004-08,2.42
2004-09,2.33
2004-10,2.37
2004-11,2.51
2004-12,2.56
2005-01,2.5
2005-02,2.54
2005-03,2.71
2005-04,2.63
2005-05,2.49
2005-06,2.33
2005-07,2.3
2005-08,2.37
2005-09,2.5
2005-10,2.52
2005-11,2.48
2005-12,2.35
2006-01,2.41
2006-02,2.52
2006-03,2.52
2006-04,2.58
2006-05,2.66
2006-06,2.58
2006-07,2.58
2006-08,2.59
2006-09,2.4
2006-10,2.32
2006-11,2.31
2006-12,2.31
2007-01,2.32
2007-02,2.36
2007-03,2.38
2007-04,2.43
2007-05,2.38
2007-06,2.41
2007-07,2.36
2007-08,2.23
2007-09,2.26
2007-10,2.33
2007-11,2.38
2007-12,2.31
2008-01,2.27
2008-02,2.33
2008-03,2.42
2008-04,2.32
2008-05,2.42
2008-06,2.47
2008-07,2.44
2008-08,2.21
2008-09,1.84
2008-10,1.06
2008-11,0.64
2008-12,0.25
2009-01,0.61
2009-02,1.12
2009-03,1.11
2009-04,1.36
2009-05,1.57
2009-06,1.86
2009-07,1.74
2009-08,1.82
2009-09,1.76
2009-10,1.91
2009-11,2.12
2009-12,2.23
2010-01,2.36
2010-02,2.27
2010-03,2.22
2010-04,2.35
2010-05,2.11
2010-06,1.94
2010-07,1.77
2010-08,1.68
2010-09,1.74
2010-10,2.01
2010-11,2.09
2010-12,2.25
2011-01,2.33
2011-02,2.34
2011-03,2.45
2011-04,2.6
2011-05,2.39
2011-06,2.24
2011-07,2.38
2011-08,2.16
2011-09,1.9
2011-10,1.96
2011-11,2.01
2011-12,2.01
2012-01,2.08
2012-02,2.22
2012-03,2.31
2012-04,2.26
2012-05,2.14
2012-06,2.12
2012-07,2.13
2012-08,2.27
2012-09,2.43
2012-10,2.5
2012-11,2.42
2012-12,2.48
2013-01,2.52
2013-02,2.55
2013-03,2.55
2013-04,2.41
2013-05,2.29
2013-06,2.05
2013-07,2.12
2013-08,2.19
2013-09,2.15
2013-10,2.19
2013-11,2.17
2013-12,2.16
2014-01,2.23
2014-02,2.16
2014-03,2.16
2014-04,2.17
2014-05,2.19
2014-06,2.23
2014-07,2.26
2014-08,2.2
2014-09,2.07
2014-10,1.92
2014-11,1.88
2014-12,1.7
2015-01,1.61
2015-02,1.72
2015-03,1.76
2015-04,1.86
2015-05,1.87
2015-06,1.86
2015-07,1.82
2015-08,1.61
2015-09,1.52
2015-10,1.5
2015-11,1.57
2015-12,1.51
2016-01,1.42
2016-02,1.31
2016-03,1.55
2016-04,1.62
2016-05,1.6
2016-06,1.47
2016-07,1.46
2016-08,1.47
2016-09,1.51
2016-10,1.66
2016-11,1.82
2016-12,1.93
2017-01,2.01
2017-02,2.02
2017-03,1.99
2017-04,1.91
2017-05,1.83
2017-06,1.73
2017-07,1.77
2017-08,1.78
2017-09,1.83
2017-10,1.86
2017-11,1.85
2017-12,1.9
2018-01,2.04
2018-02,2.1
2018-03,2.09
2018-04,2.13
2018-05,2.14
2018-06,2.12
2018-07,2.12
2018-08,2.1
2018-09,2.12
2018-10,2.11
2018-11,2.01
2018-12,1.81
2019-01,1.79
2019-02,1.88
2019-03,1.91
2019-04,1.94
2019-05,1.83
2019-06,1.7
2019-07,1.75
2019-08,1.59
2019-09,1.59
2019-10,1.56
2019-11,1.64
2019-12,1.72
2020-01,1.72
2020-02,1.62
2020-03,0.99
2020-04,1.1
2020-05,1.12
2020-06,1.27
2020-07,1.46
2020-08,1.66
2020-09,1.66
2020-10,1.7
2020-11,1.71
2020-12,1.92
2021-01,2.08
2021-02,2.18
2021-03,2.28
2021-04,2.35
2021-05,2.47
2021-06,2.34
2021-07,2.33
2021-08,2.35
2021-09,2.34
2021-10,2.53
2021-11,2.62
2021-12,2.46
2022-01,2.45
2022-02,2.46
2022-03,2.85
2022-04,2.88
2022-05,2.69
2022-06,2.62
2022-07,2.36
2022-08,2.51
2022-09,2.38
2022-10,2.39
2022-11,2.37
2022-12,2.26
2023-01,2.24
2023-02,2.33
2023-03,2.3
2023-04,2.27
2023-05,2.21
2023-06,2.2
2023-07,2.3
2023-08,2.34
2023-09,2.34
2023-10,2.39
2023-11,2.3
2023-12,2.18
2024-01,2.27
2024-02,2.28
2024-03,2.31
2024-04,2.39
2024-05,2.33
2024-06,2.26
2024-07,2.27
2024-08,2.11
2024-09,2.11
2024-10,2.29
2024-11,2.32
2024-12,2.3
2025-01,2.4
2025-02,2.42
2025-03,2.33
2025-04,2.24
2025-05,2.31
2025-06,2.3
2025-07,2.38
2025-08,2.38
2025-09,2.37
2025-10,2.31
2025-11,2.27
2025-12,2.24
2026-01,2.31
2026-02,2.3
2026-03,2.34
2026-04,2.38
2026-05,2.44
2026-06,2.29
2026-07,2.25
