,btc
2014-12,367.4
2015-01,228.33210526315787
2015-02,234.99500000000003
2015-03,270.1216129032258
2015-04,236.21833333333333
2015-05,237.43354838709675
2015-06,238.41733333333335
2015-07,280.38129032258064
2015-08,251.75516129032258
2015-09,234.36499999999998
2015-10,266.22903225806454
2015-11,349.508
2015-12,424.6061290322581
2016-01,410.6309677419355
2016-02,403.3558620689655
2016-03,414.69870967741934
2016-04,436.092
2016-05,463.4958064516129
2016-06,644.587
2016-07,663.4932258064516
2016-08,580.1209677419355
2016-09,606.0896666666666
2016-10,642.48
2016-11,725.569
2016-12,825.5212903225806
2017-01,914.5432258064516
2017-02,1069.0385714285715
2017-03,1131.9506451612904
2017-04,1221.7926666666667
2017-05,1903.2087096774194
2017-06,2618.0226666666663
2017-07,2510.734193548387
2017-08,3873.7467741935484
2017-09,4108.786666666667
2017-10,5351.115806451613
2017-11,7791.355666666667
2017-12,15271.365483870966
2018-01,12926.833870967741
2018-02,9382.837857142858
2018-03,8983.7
2018-04,8021.722666666667
2018-05,8421.643870967742
2018-06,6768.998666666666
2018-07,7123.073870967743
2018-08,6678.909032258064
2018-09,6585.823666666666
2018-10,6414.976451612903
2018-11,5348.114666666666
2018-12,3660.893548387097
2019-01,3659.4264516129033
2019-02,3659.2324999999996
2019-03,3924.2603225806456
2019-04,5146.558333333333
2019-05,7286.9474193548385
2019-06,9393.355333333333
2019-07,10657.848387096774
2019-08,10640.429677419355
2019-09,9795.253999999999
2019-10,8386.984838709677
2019-11,8337.215666666667
2019-12,7248.638709677419
2020-01,8369.254193548388
2020-02,9640.906206896552
2020-03,6884.619032258064
2020-04,7223.861999999999
2020-05,9256.765161290321
2020-06,9479.774
2020-07,9602.200322580646
2020-08,11650.661935483871
2020-09,10653.842413793103
2020-10,11892.769354838709
2020-11,16678.554
2020-12,21999.282580645162
2021-01,34764.03032258064
2021-02,46355.97214285714
2021-03,54887.24580645161
2021-04,57147.287333333334
2021-05,46475.56161290322
2021-06,35853.960333333336
2021-07,34426.54806451613
2021-08,45685.17290322581
2021-09,45935.895000000004
2021-10,57914.64451612903
2021-11,60722.92833333334
2021-12,49332.712258064515
2022-01,41110.409999999996
2022-02,40757.12678571429
2022-03,41955.95903225806
2022-04,41408.029
2022-05,31678.829677419355
2022-06,24352.125333333333
2022-07,21522.8364516129
2022-08,22353.55580645161
2022-09,19794.120666666666
2022-10,19649.742258064518
2022-11,17585.576666666668
2022-12,16942.768709677417
2023-01,20244.93677419355
2023-02,23294.730357142857
2023-03,25126.02258064516
2023-04,28854.519666666667
2023-05,27499.10290322581
2023-06,27760.137333333332
2023-07,30057.10193548387
2023-08,27849.97677419355
2023-09,26305.655000000002
2023-10,29754.165806451612
2023-11,36595.67233333333
2023-12,42547.51677419355
2024-01,42917.40225806452
2024-02,49881.01827586207
2024-03,67712.55612903227
2024-04,65869.81533333333
2024-05,65274.708387096776
2024-06,65900.32
2024-07,62816.96838709678
2024-08,59915.69870967742
2024-09,60558.218
2024-10,65859.35129032258
2024-11,87505.67
2024-12,98145.48838709678
2025-01,100205.97161290323
2025-02,94752.77178571429
2025-03,85061.55870967741
2025-04,86839.92400000001
2025-05,103954.7606451613
2025-06,105829.54033333334
2025-07,115618.18612903226
2025-08,114710.1064516129
2025-09,113487.31833333333
2025-10,113788.11516129032
2025-11,95855.28466666667
2025-12,88865.97419354839
2026-01,90511.61322580646
2026-02,68885.50357142858
2026-03,69502.07935483872
2026-04,73668.13066666666
2026-05,77958.4170967742
2026-06,63013.15733333333
2026-07,63853.705161290316
2026-08,65241.33714285715
