,claims
1967-01,209000.0
1967-02,229000.0
1967-03,260750.0
1967-04,263000.0
1967-05,235750.0
1967-06,232000.0
1967-07,227800.0
1967-08,212750.0
1967-09,216400.0
1967-10,216750.0
1967-11,206250.0
1967-12,211200.0
1968-01,215750.0
1968-02,210750.0
1968-03,195200.0
1968-04,199000.0
1968-05,199000.0
1968-06,193600.0
1968-07,196250.0
1968-08,199400.0
1968-09,191000.0
1968-10,186000.0
1968-11,183400.0
1968-12,199500.0
1969-01,191500.0
1969-02,196000.0
1969-03,189000.0
1969-04,184000.0
1969-05,181200.0
1969-06,192000.0
1969-07,208750.0
1969-08,198400.0
1969-09,194750.0
1969-10,199250.0
1969-11,205000.0
1969-12,219750.0
1970-01,247000.0
1970-02,258500.0
1970-03,268250.0
1970-04,325250.0
1970-05,310400.0
1970-06,296500.0
1970-07,286500.0
1970-08,285400.0
1970-09,318500.0
1970-10,333600.0
1970-11,325250.0
1970-12,306000.0
1971-01,298800.0
1971-02,284000.0
1971-03,293750.0
1971-04,287500.0
1971-05,292200.0
1971-06,296500.0
1971-07,293200.0
1971-08,325250.0
1971-09,320250.0
1971-10,297600.0
1971-11,287000.0
1971-12,273000.0
1972-01,271200.0
1972-02,263500.0
1972-03,262750.0
1972-04,263000.0
1972-05,267750.0
1972-06,273250.0
1972-07,297600.0
1972-08,253500.0
1972-09,256200.0
1972-10,251000.0
1972-11,250750.0
1972-12,242400.0
1973-01,228500.0
1973-02,222000.0
1973-03,227200.0
1973-04,239000.0
1973-05,240250.0
1973-06,238800.0
1973-07,242750.0
1973-08,258250.0
1973-09,246800.0
1973-10,241500.0
1973-11,253750.0
1973-12,284000.0
1974-01,305250.0
1974-02,318500.0
1974-03,311600.0
1974-04,293000.0
1974-05,297500.0
1974-06,305600.0
1974-07,309500.0
1974-08,341400.0
1974-09,360750.0
1974-10,396750.0
1974-11,457600.0
1974-12,524000.0
1975-01,535000.0
1975-02,544500.0
1975-03,546600.0
1975-04,525250.0
1975-05,498800.0
1975-06,495500.0
1975-07,442000.0
1975-08,452000.0
1975-09,445250.0
1975-10,421250.0
1975-11,400600.0
1975-12,374250.0
1976-01,371200.0
1976-02,348250.0
1976-03,360500.0
1976-04,370250.0
1976-05,391600.0
1976-06,393750.0
1976-07,390800.0
1976-08,388500.0
1976-09,407500.0
1976-10,409000.0
1976-11,389500.0
1976-12,373750.0
1977-01,401800.0
