,coal
1992-01,39.5
1992-02,39.5
1992-03,39.5
1992-04,39.5
1992-05,39.5
1992-06,39.5
1992-07,39.5
1992-08,39.5
1992-09,39.5
1992-10,37.25
1992-11,35.0
1992-12,35.0
1993-01,35.0
1993-02,31.0
1993-03,31.0
1993-04,31.0
1993-05,31.0
1993-06,31.0
1993-07,31.0
1993-08,31.0
1993-09,31.0
1993-10,31.0
1993-11,31.0
1993-12,31.0
1994-01,31.0
1994-02,31.0
1994-03,29.5
1994-04,29.5
1994-05,31.4
1994-06,33.6
1994-07,33.1
1994-08,33.1
1994-09,33.1
1994-10,33.1
1994-11,33.1
1994-12,36.1
1995-01,37.1
1995-02,37.6
1995-03,38.35
1995-04,37.1
1995-05,38.77
1995-06,40.77
1995-07,41.05
1995-08,40.88
1995-09,40.93
1995-10,40.97
1995-11,39.59
1995-12,39.35
1996-01,39.37
1996-02,39.28
1996-03,39.01
1996-04,39.33
1996-05,38.2
1996-06,38.2
1996-07,38.4
1996-08,38.35
1996-09,38.1
1996-10,37.6
1996-11,35.7
1996-12,35.35
1997-01,35.23
1997-02,34.6
1997-03,34.5
1997-04,35.4
1997-05,35.73
1997-06,34.5
1997-07,35.0
1997-08,36.93
1997-09,37.15
1997-10,37.15
1997-11,33.6
1997-12,31.4
1998-01,31.4
1998-02,33.44
1998-03,31.88
1998-04,31.18
1998-05,30.28
1998-06,30.0
1998-07,30.0
1998-08,26.2
1998-09,27.09
1998-10,27.1
1998-11,26.1
1998-12,26.1
1999-01,26.1
1999-02,26.1
1999-03,26.1
1999-04,26.1
1999-05,26.1
1999-06,26.1
1999-07,26.1
1999-08,26.1
1999-09,26.1
1999-10,25.6
1999-11,25.1
1999-12,25.1
2000-01,25.1
2000-02,25.1
2000-03,25.1
2000-04,25.1
2000-05,25.6
2000-06,25.6
2000-07,25.6
2000-08,25.6
2000-09,27.15
2000-10,27.15
2000-11,27.15
2000-12,30.75
2001-01,32.1
2001-02,32.1
2001-03,32.6
2001-04,33.5
2001-05,33.8
2001-06,33.9
2001-07,34.0
2001-08,33.8
2001-09,32.8
2001-10,32.4
2001-11,29.4
2001-12,27.35
2002-01,29.1
2002-02,29.85
2002-03,29.55
2002-04,28.84
2002-05,28.63
2002-06,26.65
2002-07,24.9
2002-08,24.0
2002-09,24.45
2002-10,26.25
2002-11,26.25
2002-12,26.25
2003-01,26.68
2003-02,26.95
2003-03,26.14
2003-04,25.13
2003-05,24.96
2003-06,25.82
2003-07,26.09
2003-08,27.13
2003-09,28.61
2003-10,29.46
2003-11,32.05
2003-12,36.43
2004-01,40.45
2004-02,44.73
2004-03,52.43
2004-04,57.05
2004-05,60.47
2004-06,63.8
2004-07,65.76
2004-08,63.48
2004-09,59.33
2004-10,60.67
2004-11,56.6
2004-12,55.98
2005-01,56.83
2005-02,53.46
2005-03,54.56
2005-04,54.91
2005-05,54.98
2005-06,54.64
2005-07,54.54
2005-08,50.69
2005-09,48.32
2005-10,44.53
2005-11,40.64
2005-12,41.69
2006-01,45.64
2006-02,50.92
2006-03,53.21
2006-04,56.47
2006-05,56.72
2006-06,54.91
2006-07,56.95
2006-08,55.63
2006-09,51.89
2006-10,47.69
2006-11,48.21
2006-12,54.51
2007-01,55.76
2007-02,56.01
2007-03,56.92
2007-04,58.05
2007-05,58.46
2007-06,63.15
2007-07,72.79
2007-08,74.83
2007-09,73.55
2007-10,79.51
2007-11,93.12
2007-12,98.91
2008-01,98.49
2008-02,141.89
2008-03,137.76
2008-04,131.74
2008-05,143.08
2008-06,166.99
2008-07,195.19
2008-08,173.3
2008-09,164.5
2008-10,119.37
2008-11,101.38
2008-12,82.61
2009-01,85.56
2009-02,80.82
2009-03,65.45
2009-04,66.27
2009-05,67.02
2009-06,75.81
2009-07,77.62
2009-08,77.88
2009-09,73.15
2009-10,75.7
2009-11,82.27
2009-12,86.36
2010-01,100.14
2010-02,98.16
2010-03,100.1
2010-04,104.96
2010-05,107.94
2010-06,104.48
2010-07,102.86
2010-08,96.85
2010-09,100.12
2010-10,103.21
2010-11,112.58
2010-12,123.79
2011-01,140.99
2011-02,134.62
2011-03,135.97
2011-04,131.53
2011-05,127.96
2011-06,128.36
2011-07,128.99
2011-08,127.46
2011-09,130.56
2011-10,127.91
2011-11,122.75
2011-12,118.18
2012-01,123.09
2012-02,124.97
2012-03,114.15
2012-04,110.35
2012-05,103.82
2012-06,92.75
2012-07,91.36
2012-08,93.46
2012-09,93.18
2012-10,86.89
2012-11,87.22
2012-12,96.08
2013-01,96.95
2013-02,100.35
2013-03,97.32
2013-04,93.23
2013-05,93.13
2013-06,89.64
2013-07,82.22
2013-08,82.22
2013-09,83.3
2013-10,85.44
2013-11,88.36
2013-12,89.44
2014-01,87.97
2014-02,83.03
2014-03,79.75
2014-04,78.52
2014-05,78.83
2014-06,77.35
2014-07,74.04
2014-08,74.25
2014-09,71.53
2014-10,68.98
