,copper
1992-01,2150.58
1992-02,2208.89
1992-03,2231.79
1992-04,2214.17
1992-05,2219.32
1992-06,2296.44
1992-07,2527.29
1992-08,2513.47
1992-09,2419.61
1992-10,2262.46
1992-11,2161.79
1992-12,2211.95
1993-01,2264.21
1993-02,2212.18
1993-03,2152.38
1993-04,1953.62
1993-05,1799.35
1993-06,1857.87
1993-07,1927.34
1993-08,1951.07
1993-09,1858.25
1993-10,1647.0
1993-11,1632.57
1993-12,1723.63
1994-01,1807.07
1994-02,1865.08
1994-03,1913.17
1994-04,1881.37
1994-05,2144.5
1994-06,2363.09
1994-07,2447.24
1994-08,2409.75
1994-09,2504.84
1994-10,2546.02
1994-11,2803.55
1994-12,2980.7
1995-01,3003.26
1995-02,2870.45
1995-03,2919.67
1995-04,2894.89
1995-05,2771.57
1995-06,2987.68
1995-07,3076.45
1995-08,3040.14
1995-09,2910.43
1995-10,2810.07
1995-11,2981.62
1995-12,2918.21
1996-01,2605.0
1996-02,2544.67
1996-03,2563.35
1996-04,2594.17
1996-05,2658.76
1996-06,2177.6
1996-07,1983.93
1996-08,2017.86
1996-09,1935.07
1996-10,1960.2
1996-11,2215.43
1996-12,2264.6
1997-01,2427.27
1997-02,2406.63
1997-03,2420.18
1997-04,2389.32
1997-05,2513.3
1997-06,2611.29
1997-07,2449.2
1997-08,2250.1
1997-09,2104.31
1997-10,2050.7
1997-11,1918.5
1997-12,1761.45
1998-01,1687.6
1998-02,1664.0
1998-03,1747.16
1998-04,1800.13
1998-05,1731.66
1998-06,1656.6
1998-07,1655.67
1998-08,1619.93
1998-09,1646.77
1998-10,1585.5
1998-11,1573.72
1998-12,1475.76
1999-01,1432.0
1999-02,1412.95
1999-03,1378.48
1999-04,1463.73
1999-05,1510.45
1999-06,1422.16
1999-07,1639.18
1999-08,1646.74
1999-09,1749.68
1999-10,1723.29
1999-11,1726.77
1999-12,1764.88
2000-01,1843.85
2000-02,1807.03
2000-03,1739.8
2000-04,1681.91
2000-05,1785.1
2000-06,1752.07
2000-07,1803.14
2000-08,1857.12
2000-09,1961.89
2000-10,1894.37
2000-11,1795.6
2000-12,1852.4
2001-01,1787.06
2001-02,1766.13
2001-03,1742.16
2001-04,1665.97
2001-05,1684.85
2001-06,1610.47
2001-07,1526.77
2001-08,1466.41
2001-09,1427.7
2001-10,1377.38
2001-11,1434.29
2001-12,1472.85
2002-01,1508.23
2002-02,1561.37
2002-03,1607.39
2002-04,1588.57
2002-05,1597.02
2002-06,1650.59
2002-07,1588.28
2002-08,1482.92
2002-09,1478.93
2002-10,1486.17
2002-11,1581.04
2002-12,1592.96
2003-01,1650.31
2003-02,1682.15
2003-03,1655.69
2003-04,1587.87
2003-05,1651.1
2003-06,1685.11
2003-07,1712.83
2003-08,1756.73
2003-09,1789.67
2003-10,1925.58
2003-11,2053.28
2003-12,2202.04
2004-01,2421.48
2004-02,2751.72
2004-03,3000.28
2004-04,2926.98
2004-05,2728.46
2004-06,2689.05
2004-07,2816.8
2004-08,2844.2
2004-09,2903.17
2004-10,3009.4
2004-11,3130.31
2004-12,3139.79
2005-01,3168.1
2005-02,3247.1
2005-03,3378.9
2005-04,3389.81
2005-05,3241.9
2005-06,3529.73
2005-07,3608.48
2005-08,3791.91
2005-09,3850.66
2005-10,4056.17
2005-11,4278.16
2005-12,4577.03
2006-01,4743.86
2006-02,4974.98
2006-03,5123.67
2006-04,6404.44
2006-05,8059.19
2006-06,7222.77
2006-07,7726.74
2006-08,7690.25
2006-09,7622.64
2006-10,7497.41
2006-11,7029.3
2006-12,6680.97
2007-01,5689.34
2007-02,5718.15
2007-03,6465.3
2007-04,7753.34
2007-05,7677.95
2007-06,7514.24
2007-07,7980.93
2007-08,7500.2
2007-09,7671.35
2007-10,8020.59
2007-11,6957.43
2007-12,6630.74
2008-01,7078.91
2008-02,7941.14
2008-03,8434.32
2008-04,8714.18
2008-05,8356.13
2008-06,8292.0
2008-07,8407.02
2008-08,7633.8
2008-09,6975.11
2008-10,4894.89
2008-11,3729.19
2008-12,3105.1
2009-01,3260.36
2009-02,3328.41
2009-03,3770.88
2009-04,4436.93
2009-05,4591.46
2009-06,5015.43
2009-07,5228.41
2009-08,6176.88
2009-09,6195.75
2009-10,6305.99
2009-11,6682.44
2009-12,6976.98
2010-01,7367.38
2010-02,6867.68
2010-03,7466.93
2010-04,7729.84
2010-05,6843.16
2010-06,6501.5
2010-07,6750.57
2010-08,7302.67
2010-09,7729.59
2010-10,8289.76
2010-11,8458.42
2010-12,9152.86
2011-01,9533.2
2011-02,9880.94
2011-03,9503.36
2011-04,9482.75
2011-05,8931.68
2011-06,9066.85
2011-07,9650.46
2011-08,8997.99
2011-09,8300.14
2011-10,7394.19
2011-11,7581.02
2011-12,7558.88
2012-01,8061.92
2012-02,8441.49
2012-03,8470.78
2012-04,8285.53
2012-05,7896.91
2012-06,7428.29
2012-07,7584.26
2012-08,7510.43
2012-09,8087.74
2012-10,8062.03
2012-11,7711.23
2012-12,7966.49
2013-01,8053.74
2013-02,8060.93
2013-03,7652.38
2013-04,7221.16
2013-05,7248.71
2013-06,7000.24
2013-07,6906.64
2013-08,7186.25
2013-09,7159.27
2013-10,7203.02
2013-11,7070.65
2013-12,7214.9
2014-01,7291.47
2014-02,7149.21
2014-03,6650.04
2014-04,6673.56
2014-05,6891.13
2014-06,6821.14
2014-07,7113.38
2014-08,7001.84
2014-09,6872.22
2014-10,6737.48
2014-11,6712.85
2014-12,6446.45
2015-01,5830.54
2015-02,5729.28
2015-03,5939.67
2015-04,6042.09
2015-05,6294.78
2015-06,5833.01
2015-07,5456.75
2015-08,5127.3
2015-09,5217.25
2015-10,5216.09
2015-11,4799.9
2015-12,4638.83
2016-01,4471.79
2016-02,4598.62
2016-03,4953.8
2016-04,4872.74
2016-05,4694.54
2016-06,4641.97
2016-07,4864.9
2016-08,4751.67
2016-09,4722.2
2016-10,4731.26
2016-11,5450.93
2016-12,5660.35
2017-01,5754.56
2017-02,5940.91
2017-03,5824.63
2017-04,5683.9
2017-05,5599.56
2017-06,5719.76
2017-07,5985.12
2017-08,6485.63
2017-09,6577.17
2017-10,6807.6
2017-11,6826.55
2017-12,6833.89
2018-01,7065.85
2018-02,7006.53
2018-03,6799.18
2018-04,6851.51
2018-05,6825.27
2018-06,6965.86
2018-07,6250.75
2018-08,6051.05
2018-09,6050.76
2018-10,6219.59
2018-11,6195.92
2018-12,6075.32
2019-01,5939.1
2019-02,6300.49
2019-03,6439.46
2019-04,6438.36
2019-05,6017.9
2019-06,5882.23
2019-07,5941.2
2019-08,5709.44
2019-09,5759.25
2019-10,5757.3
2019-11,5859.95
2019-12,6077.06
2020-01,6031.21
2020-02,5687.75
2020-03,5182.63
2020-04,5057.97
2020-05,5239.83
2020-06,5754.6
2020-07,6372.46
2020-08,6508.39
2020-09,6704.9
2020-10,6713.81
2020-11,7068.91
2020-12,7772.24
2021-01,7972.15
2021-02,8470.94
2021-03,8988.25
2021-04,9324.82
2021-05,10166.29
2021-06,9631.5
2021-07,9450.82
2021-08,9370.14
2021-09,9324.71
2021-10,9829.22
2021-11,9728.9
2021-12,9551.18
2022-01,9782.34
2022-02,9943.18
2022-03,10230.89
2022-04,10174.35
2022-05,9395.03
2022-06,9067.55
2022-07,7544.81
2022-08,7990.81
2022-09,7746.01
2022-10,7651.08
2022-11,8049.86
2022-12,8371.09
2023-01,9007.35
2023-02,8936.59
2023-03,8856.31
2023-04,8809.16
2023-05,8243.16
2023-06,8396.52
2023-07,8476.68
2023-08,8347.83
2023-09,8276.71
2023-10,7941.36
2023-11,8189.59
2023-12,8407.9
2024-01,8351.34
2024-02,8304.95
2024-03,8692.82
2024-04,9445.59
2024-05,10117.16
2024-06,9648.17
2024-07,9385.31
2024-08,8981.12
2024-09,9259.13
2024-10,9533.99
2024-11,9075.73
2024-12,8909.91
2025-01,8976.68
2025-02,9330.98
