,em_usd
2006-01,100.0
2006-02,99.4673
2006-03,100.0048
2006-04,100.1765
2006-05,100.0994
2006-06,101.5174
2006-07,100.2883
2006-08,99.8185
2006-09,99.8679
2006-10,99.4043
2006-11,98.8871
2006-12,98.1196
2007-01,98.2882
2007-02,97.9999
2007-03,98.0919
2007-04,97.1446
2007-05,96.1517
2007-06,96.0034
2007-07,95.3498
2007-08,96.4888
2007-09,95.9194
2007-10,94.3998
2007-11,94.0049
2007-12,93.7068
2008-01,93.0912
2008-02,92.0972
2008-03,91.4445
2008-04,90.6011
2008-05,90.8564
2008-06,90.4292
2008-07,89.8244
2008-08,90.499
2008-09,93.3797
2008-10,100.7111
2008-11,102.901
2008-12,103.4603
2009-01,104.3126
2009-02,106.9643
2009-03,107.3343
2009-04,103.6577
2009-05,101.6853
2009-06,101.3735
2009-07,101.367
2009-08,100.299
2009-09,100.5195
2009-10,99.1864
2009-11,98.8132
2009-12,98.5331
2010-01,98.1005
2010-02,98.7781
2010-03,97.5645
2010-04,96.3698
2010-05,98.2128
2010-06,98.6087
2010-07,98.2437
2010-08,97.6931
2010-09,96.9907
2010-10,95.1462
2010-11,95.0834
2010-12,95.2248
2011-01,94.1026
2011-02,93.8731
2011-03,93.5266
2011-04,91.9472
2011-05,91.8143
2011-06,91.8917
2011-07,91.1782
2011-08,92.4275
2011-09,95.4896
2011-10,96.765
2011-11,97.3433
2011-12,97.9846
2012-01,96.613
2012-02,94.5242
2012-03,94.9132
2012-04,95.743
2012-05,97.8078
2012-06,99.2193
2012-07,97.9933
2012-08,97.4485
2012-09,96.3883
2012-10,95.7277
2012-11,96.0854
2012-12,95.5309
2013-01,94.8772
2013-02,95.0589
2013-03,94.7787
2013-04,94.1667
2013-05,94.3327
2013-06,96.6886
2013-07,96.6634
2013-08,97.455
2013-09,97.4197
2013-10,96.5791
2013-11,97.1887
2013-12,97.3284
2014-01,98.1315
2014-02,98.661
2014-03,98.6396
2014-04,98.104
2014-05,97.6162
2014-06,97.7079
2014-07,97.443
2014-08,97.9042
2014-09,98.5989
2014-10,99.7586
2014-11,100.9498
2014-12,104.0319
2015-01,104.742
2015-02,105.7121
2015-03,107.0934
2015-04,106.0605
2015-05,106.2721
2015-06,107.2589
2015-07,108.8631
2015-08,112.3054
2015-09,114.149
2015-10,112.8038
2015-11,113.2985
2015-12,115.1947
2016-01,118.6131
2016-02,119.0927
2016-03,116.1578
2016-04,114.8381
2016-05,116.7221
2016-06,117.6835
2016-07,117.6327
2016-08,116.7459
2016-09,118.2525
2016-10,118.2488
2016-11,121.6163
2016-12,123.2648
2017-01,123.9942
2017-02,121.369
2017-03,119.7403
2017-04,118.5511
2017-05,118.5263
2017-06,117.1779
2017-07,116.4584
2017-08,115.6659
2017-09,114.9538
2017-10,117.1411
2017-11,117.1105
2017-12,117.0661
2018-01,114.9496
2018-02,114.2191
2018-03,114.1364
2018-04,114.0487
2018-05,117.451
2018-06,119.8204
2018-07,119.8734
2018-08,120.9209
2018-09,122.0521
2018-10,122.6306
2018-11,124.249
2018-12,123.7744
2019-01,121.2177
2019-02,120.8695
2019-03,121.0568
2019-04,120.7702
2019-05,122.5117
2019-06,122.5521
2019-07,121.6509
2019-08,125.0817
2019-09,125.0602
2019-10,124.3559
2019-11,123.9795
2019-12,123.392
2020-01,122.2113
2020-02,123.5251
2020-03,131.1911
2020-04,134.9783
2020-05,134.0279
2020-06,130.9887
2020-07,130.6062
2020-08,129.856
2020-09,128.1627
2020-10,126.9731
2020-11,124.3915
2020-12,122.3495
2021-01,122.0172
2021-02,122.7769
2021-03,124.4151
2021-04,123.3813
2021-05,122.3997
2021-06,122.2992
2021-07,123.3832
2021-08,123.7116
2021-09,123.464
2021-10,124.3734
2021-11,124.8764
2021-12,125.298
2022-01,124.3316
2022-02,124.0418
2022-03,124.7618
2022-04,124.5443
2022-05,126.8992
2022-06,127.1571
2022-07,129.7725
2022-08,129.023
2022-09,131.6451
2022-10,133.662
2022-11,131.8784
2022-12,129.7434
2023-01,126.6445
2023-02,126.758
2023-03,127.0148
2023-04,126.1816
2023-05,126.0915
2023-06,125.5637
2023-07,124.8058
2023-08,126.3969
2023-09,127.9809
2023-10,130.4229
2023-11,127.4489
2023-12,126.8448
2024-01,127.4672
2024-02,127.921
2024-03,127.3586
2024-04,128.5728
2024-05,128.4673
2024-06,132.1008
2024-07,132.0201
2024-08,132.808
2024-09,132.7205
2024-10,133.7709
2024-11,136.5813
2024-12,137.4717
2025-01,138.3438
2025-02,137.6507
2025-03,137.1056
2025-04,136.8608
2025-05,133.7754
2025-06,132.2201
2025-07,131.5744
2025-08,132.0667
2025-09,131.425
2025-10,131.6668
2025-11,131.8663
2025-12,130.9317
2026-01,129.3619
2026-02,127.6815
2026-03,129.8318
2026-04,128.6356
2026-05,128.3104
2026-06,128.9353
2026-07,129.1848
