,eu_equities
1986-12,27.67261
1987-01,27.31546
1987-02,26.35677
1987-03,26.79182
1987-04,27.69366
1987-05,27.00625
1987-06,27.01218
1987-07,28.26918
1987-08,28.87512
1987-09,28.59705
1987-10,26.26739
1987-11,20.78901
1987-12,20.17588
1988-01,19.89113
1988-02,20.59291
1988-03,21.90215
1988-04,21.89527
1988-05,21.55704
1988-06,23.02056
1988-07,23.65242
1988-08,23.63305
1988-09,23.89703
1988-10,25.17668
1988-11,25.27608
1988-12,25.45804
1989-01,26.74536
1989-02,26.65039
1989-03,26.68242
1989-04,27.77731
1989-05,27.95941
1989-06,29.11165
1989-07,29.85776
1989-08,31.27951
1989-09,32.36612
1989-10,31.40288
1989-11,30.52158
1989-12,32.45847
1990-01,33.13381
1990-02,32.4544
1990-03,32.9361
1990-04,33.76982
1990-05,33.80263
1990-06,33.67598
1990-07,33.89218
1990-08,29.84507
1990-09,27.23372
1990-10,26.4969
1990-11,26.06031
1990-12,26.37653
1991-01,25.12582
1991-02,27.38951
1991-03,29.12496
1991-04,29.78191
1991-05,29.99045
1991-06,30.30723
1991-07,29.15673
1991-08,29.09877
1991-09,29.43079
1991-10,28.757
1991-11,28.52463
1991-12,27.47917
1992-01,29.13133
1992-02,30.11396
1992-03,30.36871
1992-04,30.36144
1992-05,30.81619
1992-06,30.14849
1992-07,28.28577
1992-08,26.64186
1992-09,26.93509
1992-10,26.38885
1992-11,27.40433
1992-12,27.49099
1993-01,28.30943
1993-02,29.99915
1993-03,31.13988
1993-04,31.1218
1993-05,30.74761
1993-06,31.35058
1993-07,32.69098
1993-08,35.19073
1993-09,35.1194
1993-10,36.2457
1993-11,36.08109
1993-12,37.67854
1994-01,38.94068
1994-02,39.33017
1994-03,38.3731
1994-04,38.96793
1994-05,39.08842
1994-06,36.54196
1994-07,36.657
1994-08,37.71161
1994-09,36.72633
1994-10,35.47495
1994-11,35.99727
1994-12,35.72459
1995-01,35.27135
1995-02,35.58813
1995-03,34.30278
1995-04,35.03134
1995-05,36.72398
1995-06,36.74714
1995-07,37.60968
1995-08,38.20956
1995-09,37.93853
1995-10,36.66842
1995-11,37.31125
1995-12,38.2846
1996-01,39.99442
1996-02,40.90257
1996-03,41.01781
1996-04,42.24284
1996-05,42.8684
1996-06,42.9084
1996-07,41.71321
1996-08,41.77584
1996-09,42.33421
1996-10,43.86398
1996-11,44.91196
1996-12,46.26123
1997-01,49.03579
1997-02,52.37163
1997-03,53.57165
1997-04,53.10168
1997-05,56.33307
1997-06,58.49399
1997-07,63.58083
1997-08,63.55029
1997-09,62.82212
1997-10,63.17122
1997-11,59.74622
1997-12,62.96557
1998-01,65.78465
1998-02,70.73218
1998-03,77.63531
1998-04,83.2655
1998-05,85.02907
1998-06,86.58478
1998-07,90.98455
1998-08,83.54809
1998-09,73.86164
1998-10,69.13035
1998-11,77.46974
1998-12,79.80207
1999-01,86.23372
1999-02,84.96793
1999-03,85.76428
1999-04,88.81543
1999-05,89.01465
1999-06,90.29439
1999-07,92.09339
1999-08,88.92311
1999-09,91.47824
1999-10,90.51405
1999-11,98.57719
1999-12,109.2269
2000-01,112.9507
2000-02,121.7777
2000-03,126.9063
2000-04,120.32
2000-05,120.5504
2000-06,122.0374
2000-07,121.7755
2000-08,120.6888
2000-09,120.1704
2000-10,114.0913
2000-11,115.3219
2000-12,110.7292
2001-01,109.5392
2001-02,105.8439
2001-03,98.22485
2001-04,100.0717
2001-05,104.1002
2001-06,99.69437
2001-07,94.38218
2001-08,91.45575
2001-09,76.99963
2001-10,79.84045
2001-11,85.41006
2001-12,86.52701
2002-01,86.60898
2002-02,83.61209
2002-03,88.63123
2002-04,87.10359
2002-05,83.7081
2002-06,75.7339
2002-07,67.71396
2002-08,64.9175
2002-09,59.44277
2002-10,57.26023
2002-11,61.61801
2002-12,60.00841
2003-01,57.91373
2003-02,53.27525
2003-03,51.36921
2003-04,55.54733
2003-05,56.70021
2003-06,59.92504
2003-07,60.66696
2003-08,62.41243
2003-09,63.66973
2003-10,63.30818
2003-11,65.66476
2003-12,67.2491
2004-01,70.34704
2004-02,71.26749
2004-03,70.3229
2004-04,71.57403
2004-05,68.60185
2004-06,70.11012
2004-07,68.82024
2004-08,67.06214
2004-09,69.61803
2004-10,70.75603
2004-11,72.98433
2004-12,74.34522
2005-01,75.63088
2005-02,78.31533
2005-03,78.55506
2005-04,77.45888
2005-05,77.51306
2005-06,80.88806
2005-07,83.76424
2005-08,85.07124
2005-09,86.5708
2005-10,86.11436
2005-11,87.77225
2005-12,91.44087
2006-01,94.18736
2006-02,97.96069
2006-03,100.4835
2006-04,101.6919
2006-05,98.74023
2006-06,93.1375
2006-07,95.31667
2006-08,98.54514
2006-09,101.0379
2006-10,105.4807
2006-11,108.0245
2006-12,109.3492
2007-01,112.4059
2007-02,115.1754
2007-03,111.5946
2007-04,118.3783
2007-05,121.1871
2007-06,121.6621
2007-07,121.0841
2007-08,114.0772
2007-09,115.4682
2007-10,119.884
2007-11,115.4766
2007-12,116.3499
2008-01,106.7133
2008-02,101.2172
2008-03,96.25256
2008-04,100.9419
2008-05,103.0565
2008-06,95.49464
2008-07,87.54796
2008-08,88.7233
2008-09,84.58195
2008-10,67.80434
2008-11,63.16923
2008-12,61.4785
2009-01,60.49207
2009-02,56.24406
2009-03,51.82874
2009-04,58.75082
2009-05,63.36657
2009-06,63.63773
2009-07,64.00575
2009-08,70.37932
2009-09,74.09707
2009-10,75.43439
2009-11,74.51028
2009-12,75.85517
2010-01,76.79612
2010-02,72.15005
2010-03,76.53534
2010-04,78.28024
2010-05,70.93457
2010-06,71.07352
2010-07,71.61446
2010-08,72.66797
2010-09,74.28543
2010-10,76.16564
2010-11,76.41828
2010-12,77.61973
2011-01,79.38821
2011-02,82.046
2011-03,79.14007
2011-04,80.68848
2011-05,79.72647
2011-06,76.60327
2011-07,75.91946
2011-08,63.68574
2011-09,59.6679
2011-10,63.46397
2011-11,61.52987
2011-12,62.38239
