,fed_bs
2002-12,725800.5
2003-01,724718.4
2003-02,721326.0
2003-03,723651.25
2003-04,736926.4
2003-05,738358.0
2003-06,738711.75
2003-07,741656.2
2003-08,740216.5
2003-09,743206.75
2003-10,747068.4
2003-11,747801.25
2003-12,759809.6
2004-01,759938.25
2004-02,753644.25
2004-03,755538.0
2004-04,762182.0
2004-05,762913.75
2004-06,770590.0
2004-07,776094.75
2004-08,771095.5
2004-09,786291.4
2004-10,788387.5
2004-11,798767.75
2004-12,808972.6
2005-01,807094.75
2005-02,800556.75
2005-03,802471.6
2005-04,803656.0
2005-05,805624.0
2005-06,812643.2
2005-07,815370.0
2005-08,815141.8
2005-09,820696.75
2005-10,819207.25
2005-11,826201.6
2005-12,840054.25
2006-01,836539.0
2006-02,833804.0
2006-03,838655.6
2006-04,838093.75
2006-05,842451.2
2006-06,846038.0
2006-07,846874.0
2006-08,844411.4
2006-09,844410.75
2006-10,849620.75
2006-11,858302.8
2006-12,862756.75
2007-01,861258.6
2007-02,867225.0
2007-03,868370.75
2007-04,867195.25
2007-05,875321.4
2007-06,867222.25
2007-07,870706.0
2007-08,867258.6
2007-09,878775.5
2007-10,877940.6
2007-11,886426.5
2007-12,885789.75
2008-01,894807.8
2008-02,881700.25
2008-03,890096.0
2008-04,886510.6
2008-05,892986.0
2008-06,895391.5
2008-07,905993.4
2008-08,906233.75
2008-09,1009474.0
2008-10,1727614.6
2008-11,2145077.75
2008-12,2222737.4
2009-01,2033836.75
2009-02,1881628.5
2009-03,1984832.25
2009-04,2123506.2
2009-05,2134464.0
2009-06,2057022.5
2009-07,2022073.2
2009-08,2034911.25
2009-09,2122220.0
2009-10,2173382.25
2009-11,2178795.5
2009-12,2219218.0
2010-01,2256424.0
2010-02,2267424.75
2010-03,2298183.4
2010-04,2328737.0
2010-05,2336799.5
2010-06,2337481.8
2010-07,2332588.5
2010-08,2317172.25
2010-09,2301947.8
2010-10,2304649.0
2010-11,2318469.75
2010-12,2392691.8
2011-01,2443221.5
2011-02,2502997.25
2011-03,2585821.0
2011-04,2672712.75
2011-05,2749065.0
2011-06,2829826.4
2011-07,2870763.5
2011-08,2862173.0
2011-09,2857717.0
2011-10,2854649.5
2011-11,2825922.2
2011-12,2891339.75
2012-01,2913951.5
2012-02,2929930.0
2012-03,2887272.5
2012-04,2868677.25
2012-05,2856312.6
2012-06,2863870.5
2012-07,2858675.25
2012-08,2835816.6
2012-09,2817912.0
2012-10,2826231.2
2012-11,2857639.5
2012-12,2901149.5
2013-01,2966026.0
2013-02,3068737.5
2013-03,3170836.25
2013-04,3264238.0
2013-05,3355983.8
2013-06,3440056.75
2013-07,3536213.8
2013-08,3630451.5
2013-09,3693106.75
2013-10,3800415.6
2013-11,3897885.75
2013-12,3991804.5
2014-01,4064681.0
2014-02,4134488.75
2014-03,4200543.75
2014-04,4271396.8
2014-05,4322501.5
2014-06,4352084.25
2014-07,4395203.2
2014-08,4417173.5
2014-09,4436408.25
2014-10,4469678.6
2014-11,4488542.5
2014-12,4496884.8
2015-01,4507150.25
2015-02,4496402.25
2015-03,4488338.25
2015-04,4482355.6
2015-05,4479564.0
2015-06,4479059.25
2015-07,4488001.4
2015-08,4484473.0
2015-09,4484700.6
2015-10,4495400.0
2015-11,4486380.75
2015-12,4486241.6
2016-01,4489872.5
2016-02,4485799.5
2016-03,4484319.6
2016-04,4487148.5
2016-05,4472633.25
2016-06,4469248.6
2016-07,4472069.5
