,c4
1985-01,25.36
1985-02,26.01
1985-03,26.97
1985-04,27.52
1985-05,26.55
1985-06,25.66
1985-07,25.72
1985-08,26.69
1985-09,26.77
1985-10,27.5
1985-11,28.25
1985-12,25.09
1986-01,21.66
1986-02,15.94
1986-03,13.28
1986-04,12.62
1986-05,14.29
1986-06,13.04
1986-07,11.49
1986-08,14.94
1986-09,14.91
1986-10,15.18
1986-11,15.38
1986-12,16.26
1987-01,18.12
1987-02,17.45
1987-03,17.7
1987-04,17.86
1987-05,18.69
1987-06,19.41
1987-07,20.6
1987-08,19.83
1987-09,19.17
1987-10,19.6
1987-11,18.62
1987-12,16.88
1988-01,16.81
1988-02,16.53
1988-03,16.02
1988-04,17.65
1988-05,17.7
1988-06,16.88
1988-07,15.9
1988-08,15.85
1988-09,14.21
1988-10,13.52
1988-11,13.8
1988-12,15.46
1989-01,16.79
1989-02,16.69
1989-03,18.15
1989-04,18.52
1989-05,17.94
1989-06,18.11
1989-07,18.53
1989-08,18.05
1989-09,19.02
1989-10,19.52
1989-11,19.33
1989-12,20.16
1990-01,20.86
1990-02,21.4
1990-03,20.72
1990-04,19.85
1990-05,19.75
1990-06,18.52
1990-07,20.1
1990-08,25.92
1990-09,30.56
1990-10,32.32
1990-11,29.19
1990-12,24.75
1991-01,22.09
1991-02,18.41
1991-03,18.95
1991-04,20.13
1991-05,21.18
1991-06,20.45
1991-07,21.12
1991-08,21.42
1991-09,21.51
1991-10,22.57
1991-11,21.83
1991-12,19.49
1992-01,19.01
1992-02,19.3
1992-03,19.23
1992-04,20.27
1992-05,21.05
1992-06,22.15
1992-07,21.51
1992-08,21.05
1992-09,21.55
1992-10,21.47
1992-11,20.39
1992-12,19.64
1993-01,19.42
1993-02,20.18
1993-03,20.54
1993-04,20.7
1993-05,20.41
1993-06,19.73
1993-07,18.57
1993-08,18.73
1993-09,18.23
1993-10,18.59
1993-11,17.41
1993-12,15.45
1994-01,15.48
1994-02,15.23
1994-03,14.96
1994-04,16.18
1994-05,17.17
1994-06,18.03
1994-07,18.72
1994-08,18.15
1994-09,17.77
1994-10,17.78
1994-11,17.88
1994-12,17.29
1995-01,17.76
1995-02,18.07
1995-03,18.2
1995-04,19.12
1995-05,19.12
1995-06,18.0
1995-07,16.99
1995-08,17.28
1995-09,17.54
1995-10,16.99
1995-11,17.41
1995-12,18.15
1996-01,17.78
1996-02,17.57
1996-03,18.44
1996-04,19.26
1996-05,18.93
1996-06,18.73
1996-07,19.61
1996-08,20.38
1996-09,22.16
1996-10,23.38
1996-11,22.58
1996-12,23.32
1997-01,23.46
1997-02,21.3
1997-03,20.67
1997-04,19.74
1997-05,20.79
1997-06,19.62
1997-07,19.83
1997-08,20.2
1997-09,19.95
1997-10,21.15
1997-11,20.43
1997-12,18.85
1998-01,17.34
1998-02,16.86
1998-03,16.03
1998-04,16.46
1998-05,16.46
1998-06,15.58
1998-07,15.02
1998-08,14.29
1998-09,15.47
1998-10,14.92
1998-11,13.91
1998-12,12.23
1999-01,12.76
1999-02,12.4
1999-03,14.7
1999-04,16.85
1999-05,17.4
1999-06,17.92
1999-07,19.95
1999-08,21.04
1999-09,22.64
1999-10,22.12
1999-11,23.27
1999-12,23.85
2000-01,24.67
2000-02,26.44
2000-03,26.81
2000-04,24.38
2000-05,27.34
2000-06,28.68
2000-07,28.17
2000-08,29.57
2000-09,32.02
2000-10,31.49
2000-11,31.45
2000-12,26.92
2001-01,26.97
2001-02,28.44
2001-03,27.25
2001-04,27.96
2001-05,28.86
2001-06,27.58
2001-07,25.95
2001-08,26.57
2001-09,25.89
2001-10,22.72
2001-11,20.19
2001-12,20.06
2002-01,20.49
2002-02,21.17
2002-03,24.64
2002-04,25.78
2002-05,26.08
2002-06,25.46
2002-07,26.29
2002-08,27.03
2002-09,28.93
2002-10,27.91
2002-11,25.15
2002-12,27.78
2003-01,29.89
2003-02,31.97
2003-03,29.66
2003-04,26.21
2003-05,26.62
2003-06,28.3
2003-07,29.29
2003-08,30.39
2003-09,27.71
2003-10,29.46
2003-11,29.82
2003-12,30.99
2004-01,32.48
2004-02,32.37
2004-03,34.64
2004-04,35.22
2004-05,38.95
2004-06,37.78
2004-07,39.6
2004-08,43.44
2004-09,44.65
2004-10,51.47
2004-11,48.22
2004-12,43.45
2005-01,46.63
2005-02,48.74
2005-03,55.67
2005-04,55.71
2005-05,52.29
2005-06,58.32
2005-07,61.07
2005-08,66.62
2005-09,66.71
2005-10,62.54
2005-11,59.9
2005-12,61.17
2006-01,67.04
2006-02,64.72
2006-03,65.87
2006-04,72.88
2006-05,73.47
2006-06,72.9
2006-07,76.95
2006-08,75.74
2006-09,66.54
2006-10,63.0
2006-11,63.37
2006-12,64.75
2007-01,56.85
2007-02,61.58
2007-03,64.31
2007-04,67.84
2007-05,66.84
2007-06,69.37
2007-07,73.83
2007-08,71.25
2007-09,76.71
2007-10,82.99
2007-11,91.95
2007-12,90.92
2008-01,91.82
2008-02,94.66
2008-03,102.82
2008-04,110.41
2008-05,124.84
2008-06,134.89
2008-07,134.88
2008-08,117.66
2008-09,103.48
2008-10,77.52
2008-11,60.12
2008-12,48.78
2009-01,50.9
2009-02,46.92
2009-03,51.78
2009-04,55.15
2009-05,61.79
2009-06,71.98
2009-07,67.85
2009-08,74.47
2009-09,70.9
2009-10,77.35
2009-11,80.43
2009-12,77.91
2010-01,79.99
2010-02,77.8
2010-03,82.44
2010-04,87.77
2010-05,79.35
2010-06,78.0
2010-07,77.83
2010-08,78.72
2010-09,79.06
2010-10,83.98
2010-11,85.84
2010-12,90.81
2011-01,93.17
2011-02,96.06
2011-03,104.89
2011-04,111.26
2011-05,102.55
2011-06,97.77
2011-07,98.67
2011-08,87.45
2011-09,86.3
2011-10,86.71
2011-11,97.12
2011-12,99.05
2012-01,101.11
2012-02,103.63
2012-03,107.58
2012-04,104.63
2012-05,95.58
2012-06,83.4
2012-07,89.02
2012-08,95.17
2012-09,95.64
2012-10,90.97
2012-11,88.44
2012-12,89.89
2013-01,96.0
2013-02,96.65
2013-03,93.75
2013-04,92.56
2013-05,94.79
2013-06,95.42
2013-07,101.55
2013-08,103.42
2013-09,102.93
2013-10,99.74
2013-11,94.59
2013-12,97.51
2014-01,93.93
2014-02,98.39
2014-03,98.14
2014-04,99.52
2014-05,99.19
2014-06,102.54
2014-07,99.89
2014-08,94.27
2014-09,91.39
2014-10,82.98
2014-11,75.89
2014-12,60.25
2015-01,49.62
2015-02,54.45
2015-03,52.44
2015-04,57.84
2015-05,60.91
2015-06,60.78
2015-07,52.38
2015-08,45.14
2015-09,47.18
2015-10,48.3
2015-11,45.96
2015-12,40.52
2016-01,35.23
2016-02,35.4
2016-03,41.14
2016-04,43.52
2016-05,48.18
2016-06,50.41
2016-07,46.87
2016-08,46.88
2016-09,47.05
2016-10,51.47
2016-11,47.98
2016-12,54.64
2017-01,54.72
2017-02,54.64
2017-03,50.91
2017-04,52.09
2017-05,49.34
2017-06,45.87
2017-07,47.22
2017-08,48.68
2017-09,50.88
2017-10,52.28
2017-11,56.8
2017-12,57.9
2018-01,63.01
2018-02,61.21
2018-03,62.13
2018-04,65.49
2018-05,69.06
2018-06,65.8
2018-07,67.28
2018-08,66.51
2018-09,69.43
2018-10,70.71
2018-11,57.11
2018-12,49.57
2019-01,52.41
2019-02,56.37
2019-03,59.1
2019-04,63.86
2019-05,60.92
2019-06,54.88
2019-07,57.57
2019-08,54.18
2019-09,55.97
2019-10,53.74
2019-11,56.63
2019-12,59.05
2020-01,57.15
2020-02,51.08
2020-03,33.76
2020-04,29.17
2020-05,31.1
2020-06,38.9
2020-07,41.29
2020-08,43.28
2020-09,40.67
2020-10,40.52
2020-11,41.95
2020-12,47.41
2021-01,51.84
2021-02,58.17
2021-03,61.61
2021-04,61.21
2021-05,64.39
2021-06,69.51
2021-07,70.08
2021-08,66.6
2021-09,70.37
2021-10,78.56
2021-11,76.11
2021-12,70.74
2022-01,80.47
2022-02,86.77
2022-03,99.42
2022-04,98.31
2022-05,102.28
2022-06,106.71
2022-07,91.99
2022-08,89.35
2022-09,81.76
2022-10,83.38
2022-11,82.58
2022-12,76.65
2023-01,78.73
2023-02,77.18
2023-03,73.38
2023-04,78.51
2023-05,71.1
2023-06,70.2
2023-07,75.22
2023-08,79.89
2023-09,85.99
2023-10,82.05
2023-11,77.09
2023-12,72.71
2024-01,73.73
2024-02,75.55
2024-03,78.67
2024-04,82.92
