,gs2
1976-06,7.06
1976-07,6.85
1976-08,6.63
1976-09,6.42
1976-10,5.98
1976-11,5.81
1976-12,5.38
1977-01,5.9
1977-02,6.09
1977-03,6.09
1977-04,5.96
1977-05,6.25
1977-06,6.13
1977-07,6.27
1977-08,6.61
1977-09,6.71
1977-10,7.11
1977-11,7.14
1977-12,7.18
1978-01,7.49
1978-02,7.57
1978-03,7.58
1978-04,7.74
1978-05,8.01
1978-06,8.24
1978-07,8.49
1978-08,8.37
1978-09,8.57
1978-10,8.85
1978-11,9.42
1978-12,9.72
1979-01,9.86
1979-02,9.72
1979-03,9.79
1979-04,9.78
1979-05,9.78
1979-06,9.22
1979-07,9.14
1979-08,9.46
1979-09,10.06
1979-10,11.49
1979-11,11.81
1979-12,11.39
1980-01,11.5
1980-02,13.42
1980-03,14.88
1980-04,12.5
1980-05,9.45
1980-06,8.73
1980-07,9.03
1980-08,10.53
1980-09,11.57
1980-10,12.09
1980-11,13.51
1980-12,14.08
1981-01,13.26
1981-02,13.92
1981-03,13.57
1981-04,14.15
1981-05,15.46
1981-06,14.51
1981-07,15.35
1981-08,16.28
1981-09,16.46
1981-10,15.54
1981-11,12.88
1981-12,13.29
1982-01,14.57
1982-02,14.82
1982-03,14.19
1982-04,14.2
1982-05,13.78
1982-06,14.47
1982-07,13.8
1982-08,12.32
1982-09,11.78
1982-10,10.19
1982-11,9.8
1982-12,9.66
1983-01,9.33
1983-02,9.64
1983-03,9.66
1983-04,9.57
1983-05,9.49
1983-06,10.18
1983-07,10.69
1983-08,11.07
1983-09,10.79
1983-10,10.57
1983-11,10.66
1983-12,10.84
1984-01,10.64
1984-02,10.79
1984-03,11.31
1984-04,11.69
1984-05,12.47
1984-06,12.91
1984-07,12.88
1984-08,12.43
1984-09,12.2
1984-10,11.6
1984-11,10.65
1984-12,10.18
1985-01,9.93
1985-02,10.17
1985-03,10.71
1985-04,10.09
1985-05,9.39
1985-06,8.69
1985-07,8.77
1985-08,8.94
1985-09,8.98
1985-10,8.86
1985-11,8.58
1985-12,8.15
1986-01,8.14
1986-02,7.97
1986-03,7.21
1986-04,6.7
1986-05,7.07
1986-06,7.18
1986-07,6.67
1986-08,6.33
1986-09,6.35
1986-10,6.28
1986-11,6.28
1986-12,6.27
1987-01,6.23
1987-02,6.4
1987-03,6.42
1987-04,7.02
1987-05,7.76
1987-06,7.57
1987-07,7.44
1987-08,7.75
1987-09,8.34
1987-10,8.4
1987-11,7.69
1987-12,7.86
1988-01,7.63
1988-02,7.18
1988-03,7.27
1988-04,7.59
1988-05,8.0
1988-06,8.03
1988-07,8.28
1988-08,8.63
1988-09,8.46
1988-10,8.35
1988-11,8.67
1988-12,9.09
1989-01,9.18
1989-02,9.37
1989-03,9.68
1989-04,9.45
1989-05,9.02
1989-06,8.41
1989-07,7.82
1989-08,8.14
1989-09,8.28
1989-10,7.98
1989-11,7.8
1989-12,7.78
1990-01,8.09
1990-02,8.37
1990-03,8.63
1990-04,8.72
1990-05,8.64
1990-06,8.35
1990-07,8.16
1990-08,8.06
1990-09,8.08
1990-10,7.88
1990-11,7.6
1990-12,7.31
1991-01,7.13
1991-02,6.87
1991-03,7.1
1991-04,6.95
1991-05,6.78
1991-06,6.96
1991-07,6.92
1991-08,6.43
1991-09,6.18
1991-10,5.91
1991-11,5.56
1991-12,5.03
1992-01,4.96
1992-02,5.21
1992-03,5.69
1992-04,5.34
1992-05,5.23
1992-06,5.05
1992-07,4.36
1992-08,4.19
1992-09,3.89
1992-10,4.08
1992-11,4.58
1992-12,4.67
1993-01,4.39
1993-02,4.1
1993-03,3.95
1993-04,3.84
1993-05,3.98
1993-06,4.16
1993-07,4.07
1993-08,4.0
1993-09,3.85
1993-10,3.87
1993-11,4.16
1993-12,4.21
1994-01,4.14
1994-02,4.47
1994-03,5.0
1994-04,5.55
1994-05,5.97
1994-06,5.93
1994-07,6.13
1994-08,6.18
1994-09,6.39
1994-10,6.73
1994-11,7.15
1994-12,7.59
1995-01,7.51
1995-02,7.11
1995-03,6.78
1995-04,6.57
1995-05,6.17
1995-06,5.72
1995-07,5.78
1995-08,5.98
1995-09,5.81
1995-10,5.7
1995-11,5.48
1995-12,5.32
1996-01,5.11
1996-02,5.03
1996-03,5.66
1996-04,5.96
1996-05,6.1
1996-06,6.3
1996-07,6.27
1996-08,6.03
1996-09,6.23
1996-10,5.91
1996-11,5.7
1996-12,5.78
1997-01,6.01
1997-02,5.9
1997-03,6.22
1997-04,6.45
1997-05,6.28
1997-06,6.09
1997-07,5.89
1997-08,5.94
1997-09,5.88
1997-10,5.77
1997-11,5.71
1997-12,5.72
1998-01,5.36
1998-02,5.42
1998-03,5.56
1998-04,5.56
1998-05,5.59
1998-06,5.52
1998-07,5.46
1998-08,5.27
1998-09,4.67
1998-10,4.09
1998-11,4.54
1998-12,4.51
1999-01,4.62
1999-02,4.88
1999-03,5.05
1999-04,4.98
1999-05,5.25
1999-06,5.62
1999-07,5.55
1999-08,5.68
1999-09,5.66
1999-10,5.86
1999-11,5.86
1999-12,6.1
2000-01,6.44
2000-02,6.61
2000-03,6.53
2000-04,6.4
2000-05,6.81
2000-06,6.48
2000-07,6.34
2000-08,6.23
2000-09,6.08
2000-10,5.91
2000-11,5.88
2000-12,5.35
2001-01,4.76
2001-02,4.66
2001-03,4.34
2001-04,4.23
2001-05,4.26
2001-06,4.08
2001-07,4.04
2001-08,3.76
2001-09,3.12
2001-10,2.73
