,m2
1959-01,286.6
1959-02,287.7
1959-03,289.2
1959-04,290.1
1959-05,292.2
1959-06,294.1
1959-07,295.2
1959-08,296.4
1959-09,296.7
1959-10,296.5
1959-11,297.1
1959-12,297.8
1960-01,298.2
1960-02,298.4
1960-03,299.3
1960-04,300.1
1960-05,300.9
1960-06,302.3
1960-07,304.1
1960-08,306.9
1960-09,308.4
1960-10,309.5
1960-11,310.9
1960-12,312.4
1961-01,314.1
1961-02,316.5
1961-03,318.3
1961-04,319.9
1961-05,322.2
1961-06,324.3
1961-07,325.6
1961-08,327.6
1961-09,329.5
1961-10,331.1
1961-11,333.4
1961-12,335.5
1962-01,337.5
1962-02,340.1
1962-03,343.1
1962-04,345.5
1962-05,347.5
1962-06,349.3
1962-07,350.8
1962-08,352.8
1962-09,354.9
1962-10,357.2
1962-11,359.8
1962-12,362.7
1963-01,365.2
1963-02,367.9
1963-03,370.7
1963-04,373.3
1963-05,376.1
1963-06,378.4
1963-07,381.1
1963-08,383.6
1963-09,386.0
1963-10,388.3
1963-11,391.5
1963-12,393.2
1964-01,395.2
1964-02,397.6
1964-03,399.8
1964-04,401.7
1964-05,404.2
1964-06,407.1
1964-07,410.1
1964-08,413.4
1964-09,416.9
1964-10,419.1
1964-11,422.1
1964-12,424.8
1965-01,427.5
1965-02,430.4
1965-03,433.2
1965-04,435.5
1965-05,437.1
1965-06,440.1
1965-07,442.9
1965-08,445.8
1965-09,449.5
1965-10,452.6
1965-11,455.7
1965-12,459.2
1966-01,462.0
1966-02,464.6
1966-03,467.2
1966-04,469.3
1966-05,470.1
1966-06,471.2
1966-07,470.8
1966-08,472.6
1966-09,475.4
1966-10,475.7
1966-11,477.3
1966-12,480.2
1967-01,481.6
1967-02,485.1
1967-03,489.7
1967-04,492.1
1967-05,497.2
1967-06,502.0
1967-07,506.3
1967-08,510.8
1967-09,514.7
1967-10,518.2
1967-11,521.2
1967-12,524.8
1968-01,527.4
1968-02,530.4
1968-03,533.2
1968-04,535.7
1968-05,538.9
1968-06,542.6
1968-07,545.6
1968-08,549.4
1968-09,553.5
1968-10,557.6
1968-11,562.4
1968-12,566.9
1969-01,569.3
1969-02,571.9
1969-03,574.4
1969-04,575.7
1969-05,576.5
1969-06,578.5
1969-07,579.5
1969-08,580.1
1969-09,582.1
1969-10,583.4
1969-11,585.4
1969-12,587.9
1970-01,589.6
1970-02,586.3
1970-03,587.3
1970-04,588.4
1970-05,591.5
1970-06,595.2
1970-07,599.1
1970-08,604.9
1970-09,611.2
1970-10,616.4
1970-11,621.1
1970-12,626.6
1971-01,633.0
1971-02,641.0
1971-03,649.9
1971-04,658.4
1971-05,666.7
1971-06,673.0
1971-07,679.6
1971-08,685.5
1971-09,692.5
1971-10,698.4
1971-11,704.6
1971-12,710.3
1972-01,717.7
1972-02,725.7
1972-03,733.5
1972-04,738.4
1972-05,743.3
1972-06,749.7
1972-07,759.5
1972-08,768.7
1972-09,778.3
1972-10,786.9
1972-11,793.9
1972-12,802.3
1973-01,810.3
1973-02,814.1
1973-03,815.3
1973-04,819.7
1973-05,826.8
1973-06,833.2
1973-07,836.5
1973-08,838.8
1973-09,839.3
1973-10,842.6
1973-11,848.9
1973-12,855.5
1974-01,859.7
1974-02,864.2
1974-03,870.1
1974-04,872.9
1974-05,874.6
1974-06,877.8
1974-07,881.4
1974-08,884.1
1974-09,887.9
1974-10,893.3
1974-11,898.6
1974-12,902.1
1975-01,906.3
1975-02,914.1
1975-03,925.0
1975-04,935.1
1975-05,947.9
1975-06,963.0
1975-07,975.1
1975-08,983.1
1975-09,991.5
1975-10,997.8
1975-11,1007.0
1975-12,1016.3
1976-01,1026.7
1976-02,1040.3
1976-03,1049.9
1976-04,1060.8
1976-05,1072.1
1976-06,1077.6
1976-07,1086.3
1976-08,1098.7
1976-09,1110.8
1976-10,1125.0
1976-11,1138.3
1976-12,1152.1
1977-01,1165.2
1977-02,1177.5
1977-03,1188.4
1977-04,1199.6
1977-05,1209.0
1977-06,1217.8
1977-07,1226.8
1977-08,1237.1
1977-09,1246.3
1977-10,1254.0
1977-11,1262.4
1977-12,1270.4
1978-01,1279.7
1978-02,1285.4
1978-03,1292.1
1978-04,1300.3
1978-05,1310.5
1978-06,1318.5
1978-07,1324.2
1978-08,1333.5
1978-09,1345.1
1978-10,1352.4
1978-11,1359.2
1978-12,1366.1
1979-01,1371.6
1979-02,1377.7
1979-03,1387.7
1979-04,1402.1
1979-05,1410.2
1979-06,1423.0
1979-07,1434.8
1979-08,1446.6
1979-09,1454.2
1979-10,1460.4
1979-11,1465.9
1979-12,1473.9
1980-01,1482.7
1980-02,1494.4
1980-03,1499.7
1980-04,1502.2
1980-05,1512.4
1980-06,1529.2
1980-07,1545.5
1980-08,1561.5
1980-09,1574.0
1980-10,1584.7
1980-11,1595.7
1980-12,1599.9
1981-01,1607.0
1981-02,1618.6
1981-03,1636.5
1981-04,1659.2
1981-05,1664.3
1981-06,1670.4
1981-07,1681.9
1981-08,1694.3
1981-09,1706.0
1981-10,1721.7
1981-11,1736.0
1981-12,1755.5
1982-01,1770.4
1982-02,1774.4
1982-03,1786.4
1982-04,1804.0
1982-05,1815.7
1982-06,1826.2
1982-07,1831.6
1982-08,1845.1
1982-09,1858.3
1982-10,1869.4
1982-11,1883.4
1982-12,1905.9
1983-01,1959.4
1983-02,1996.7
1983-03,2015.2
1983-04,2028.9
1983-05,2043.6
1983-06,2053.8
1983-07,2064.9
1983-08,2073.9
1983-09,2083.0
1983-10,2098.8
1983-11,2111.9
1983-12,2123.4
1984-01,2138.0
1984-02,2158.2
1984-03,2175.3
1984-04,2192.1
1984-05,2204.8
1984-06,2215.6
1984-07,2223.6
1984-08,2230.2
1984-09,2244.2
1984-10,2258.4
1984-11,2280.9
1984-12,2306.3
1985-01,2332.1
1985-02,2353.9
1985-03,2366.3
1985-04,2375.8
1985-05,2390.4
1985-06,2413.3
1985-07,2429.6
1985-08,2443.9
1985-09,2456.2
1985-10,2467.6
1985-11,2477.3
1985-12,2492.0
1986-01,2501.6
1986-02,2512.5
1986-03,2533.1
1986-04,2558.1
1986-05,2585.7
1986-06,2605.7
1986-07,2626.6
1986-08,2646.5
1986-09,2667.9
1986-10,2687.1
1986-11,2701.0
1986-12,2728.0
1987-01,2743.3
1987-02,2747.0
1987-03,2753.5
1987-04,2767.8
1987-05,2773.7
1987-06,2775.3
1987-07,2779.0
1987-08,2788.3
1987-09,2799.6
1987-10,2814.7
1987-11,2818.9
1987-12,2826.7
1988-01,2846.9
1988-02,2869.6
1988-03,2890.2
1988-04,2910.4
1988-05,2926.6
1988-06,2939.0
1988-07,2947.2
1988-08,2952.1
1988-09,2957.2
1988-10,2965.4
1988-11,2980.3
1988-12,2988.8
1989-01,2991.2
1989-02,2991.2
1989-03,2998.9
1989-04,3005.5
1989-05,3012.1
1989-06,3028.6
1989-07,3052.5
1989-08,3074.6
1989-09,3092.9
1989-10,3114.3
1989-11,3133.6
1989-12,3153.4
1990-01,3166.3
1990-02,3178.2
1990-03,3189.2
1990-04,3201.2
1990-05,3201.3
1990-06,3214.6
1990-07,3224.7
1990-08,3242.1
1990-09,3254.7
1990-10,3259.2
1990-11,3262.8
1990-12,3272.5
1991-01,3287.4
1991-02,3303.6
1991-03,3321.0
1991-04,3331.9
1991-05,3343.6
1991-06,3352.8
1991-07,3356.2
1991-08,3355.0
1991-09,3355.0
1991-10,3360.0
1991-11,3365.8
1991-12,3373.0
1992-01,3380.9
1992-02,3399.3
1992-03,3403.1
1992-04,3399.2
1992-05,3399.1
1992-06,3394.0
1992-07,3393.9
1992-08,3398.7
1992-09,3410.4
1992-10,3423.9
1992-11,3426.9
1992-12,3425.3
1993-01,3418.9
1993-02,3413.8
1993-03,3410.9
1993-04,3410.7
1993-05,3437.5
1993-06,3442.7
1993-07,3441.9
1993-08,3445.6
1993-09,3452.6
1993-10,3456.9
1993-11,3470.7
1993-12,3475.0
1994-01,3474.8
1994-02,3475.1
1994-03,3479.2
1994-04,3480.5
1994-05,3491.4
1994-06,3479.8
1994-07,3488.1
1994-08,3485.6
1994-09,3486.7
1994-10,3484.8
1994-11,3487.8
1994-12,3486.7
1995-01,3492.2
1995-02,3489.2
1995-03,3489.9
1995-04,3498.2
1995-05,3525.1
1995-06,3549.4
1995-07,3567.5
1995-08,3588.9
1995-09,3602.9
1995-10,3614.1
1995-11,3620.4
1995-12,3629.8
1996-01,3647.4
1996-02,3660.8
1996-03,3685.4
1996-04,3696.4
1996-05,3710.7
1996-06,3723.3
1996-07,3737.5
1996-08,3744.1
1996-09,3754.2
1996-10,3773.4
1996-11,3795.5
1996-12,3818.7
1997-01,3834.0
1997-02,3845.0
1997-03,3859.5
1997-04,3875.8
1997-05,3890.5
1997-06,3907.1
1997-07,3924.9
1997-08,3957.7
1997-09,3973.7
1997-10,3992.7
1997-11,4015.0
1997-12,4033.0
1998-01,4055.2
1998-02,4087.3
1998-03,4112.4
1998-04,4138.9
1998-05,4165.9
1998-06,4185.6
1998-07,4205.4
1998-08,4229.3
1998-09,4268.3
1998-10,4308.2
1998-11,4346.8
1998-12,4375.5
1999-01,4401.7
1999-02,4423.7
1999-03,4430.1
1999-04,4459.9
1999-05,4487.9
1999-06,4510.1
1999-07,4537.6
1999-08,4553.6
1999-09,4569.5
1999-10,4592.9
1999-11,4611.9
1999-12,4639.1
2000-01,4666.1
2000-02,4678.7
2000-03,4709.1
2000-04,4766.4
2000-05,4757.5
2000-06,4775.8
2000-07,4793.4
2000-08,4820.4
2000-09,4855.9
2000-10,4871.4
2000-11,4882.6
2000-12,4927.3
2001-01,4976.8
2001-02,5014.9
2001-03,5072.2
2001-04,5137.9
2001-05,5139.1
2001-06,5182.3
2001-07,5212.0
2001-08,5244.4
2001-09,5355.9
2001-10,5344.0
2001-11,5387.5
2001-12,5440.1
2002-01,5459.6
2002-02,5488.4
2002-03,5499.8
2002-04,5501.3
