,ry10
2003-01,2.29
2003-02,1.99
2003-03,1.94
2003-04,2.18
2003-05,1.91
2003-06,1.72
2003-07,2.11
2003-08,2.32
2003-09,2.19
2003-10,2.08
2003-11,1.96
2003-12,1.98
2004-01,1.89
2004-02,1.76
2004-03,1.47
2004-04,1.9
2004-05,2.09
2004-06,2.15
2004-07,2.02
2004-08,1.86
2004-09,1.8
2004-10,1.73
2004-11,1.68
2004-12,1.67
2005-01,1.72
2005-02,1.63
2005-03,1.79
2005-04,1.71
2005-05,1.65
2005-06,1.67
2005-07,1.88
2005-08,1.89
2005-09,1.7
2005-10,1.94
2005-11,2.06
2005-12,2.12
2006-01,2.01
2006-02,2.05
2006-03,2.2
2006-04,2.41
2006-05,2.45
2006-06,2.53
2006-07,2.51
2006-08,2.29
2006-09,2.32
2006-10,2.41
2006-11,2.29
2006-12,2.25
2007-01,2.44
2007-02,2.36
2007-03,2.18
2007-04,2.26
2007-05,2.37
2007-06,2.69
2007-07,2.64
2007-08,2.44
2007-09,2.26
2007-10,2.2
2007-11,1.77
2007-12,1.79
2008-01,1.47
2008-02,1.41
2008-03,1.09
2008-04,1.36
2008-05,1.46
2008-06,1.63
2008-07,1.57
2008-08,1.68
2008-09,1.85
2008-10,2.75
2008-11,2.89
2008-12,2.17
2009-01,1.91
2009-02,1.75
2009-03,1.71
2009-04,1.57
2009-05,1.72
2009-06,1.86
2009-07,1.82
2009-08,1.77
2009-09,1.64
2009-10,1.48
2009-11,1.28
2009-12,1.36
2010-01,1.37
2010-02,1.42
2010-03,1.51
2010-04,1.5
2010-05,1.31
2010-06,1.26
2010-07,1.24
2010-08,1.02
2010-09,0.91
2010-10,0.53
2010-11,0.67
2010-12,1.04
2011-01,1.06
2011-02,1.24
2011-03,0.96
2011-04,0.86
2011-05,0.78
2011-06,0.76
2011-07,0.62
2011-08,0.14
2011-09,0.08
2011-10,0.19
2011-11,0.0
2011-12,-0.03
2012-01,-0.11
2012-02,-0.25
2012-03,-0.14
2012-04,-0.21
2012-05,-0.34
2012-06,-0.5
2012-07,-0.6
2012-08,-0.59
2012-09,-0.71
2012-10,-0.75
2012-11,-0.77
2012-12,-0.76
2013-01,-0.61
2013-02,-0.57
2013-03,-0.59
2013-04,-0.65
2013-05,-0.36
2013-06,0.25
2013-07,0.46
2013-08,0.55
2013-09,0.66
2013-10,0.43
2013-11,0.55
2013-12,0.74
2014-01,0.63
2014-02,0.55
2014-03,0.56
2014-04,0.54
2014-05,0.37
2014-06,0.37
2014-07,0.28
2014-08,0.22
2014-09,0.46
2014-10,0.38
2014-11,0.45
2014-12,0.51
2015-01,0.27
2015-02,0.26
2015-03,0.28
2015-04,0.08
2015-05,0.33
2015-06,0.5
2015-07,0.5
2015-08,0.56
2015-09,0.65
2015-10,0.57
2015-11,0.69
2015-12,0.73
2016-01,0.67
2016-02,0.47
2016-03,0.34
2016-04,0.19
2016-05,0.21
2016-06,0.17
2016-07,0.04
2016-08,0.09
2016-09,0.12
2016-10,0.1
2016-11,0.32
2016-12,0.56
2017-01,0.42
2017-02,0.4
2017-03,0.49
2017-04,0.39
2017-05,0.47
2017-06,0.46
2017-07,0.55
2017-08,0.43
2017-09,0.37
2017-10,0.5
2017-11,0.5
2017-12,0.5
2018-01,0.54
2018-02,0.76
2018-03,0.75
2018-04,0.74
2018-05,0.84
2018-06,0.79
2018-07,0.77
2018-08,0.79
2018-09,0.88
2018-10,1.04
2018-11,1.11
2018-12,1.02
2019-01,0.92
2019-02,0.8
2019-03,0.66
2019-04,0.6
2019-05,0.57
2019-06,0.37
2019-07,0.31
2019-08,0.04
2019-09,0.11
2019-10,0.15
2019-11,0.17
2019-12,0.14
2020-01,0.04
2020-02,-0.11
2020-03,-0.12
2020-04,-0.45
2020-05,-0.44
2020-06,-0.54
2020-07,-0.83
2020-08,-1.01
2020-09,-0.98
2020-10,-0.92
2020-11,-0.84
2020-12,-0.98
2021-01,-1.0
2021-02,-0.92
2021-03,-0.66
2021-04,-0.71
2021-05,-0.85
2021-06,-0.82
2021-07,-1.01
2021-08,-1.07
2021-09,-0.97
2021-10,-0.95
2021-11,-1.06
2021-12,-0.99
2022-01,-0.69
2022-02,-0.52
2022-03,-0.72
2022-04,-0.14
2022-05,0.21
2022-06,0.53
2022-07,0.53
2022-08,0.39
2022-09,1.14
2022-10,1.59
2022-11,1.52
2022-12,1.36
2023-01,1.29
2023-02,1.41
2023-03,1.36
2023-04,1.19
2023-05,1.36
2023-06,1.55
2023-07,1.6
2023-08,1.83
2023-09,2.04
2023-10,2.41
2023-11,2.2
2023-12,1.84
2024-01,1.79
2024-02,1.93
2024-03,1.9
2024-04,2.15
2024-05,2.15
2024-06,2.05
2024-07,1.97
2024-08,1.76
2024-09,1.62
2024-10,1.81
2024-11,2.03
2024-12,2.09
2025-01,2.23
2025-02,2.03
2025-03,1.95
2025-04,2.04
2025-05,2.11
2025-06,2.09
2025-07,2.01
2025-08,1.88
2025-09,1.75
2025-10,1.76
2025-11,1.83
2025-12,1.9
2026-01,1.91
2026-02,1.82
2026-03,1.91
2026-04,1.94
2026-05,2.04
2026-06,2.18
2026-07,2.35
