Month,TB3MS
1985-01,7.76
1985-02,8.27
1985-03,8.52
1985-04,7.95
1985-05,7.48
1985-06,6.95
1985-07,7.08
1985-08,7.14
1985-09,7.1
1985-10,7.16
1985-11,7.24
1985-12,7.1
1986-01,7.07
1986-02,7.06
1986-03,6.56
1986-04,6.06
1986-05,6.15
1986-06,6.21
1986-07,5.83
1986-08,5.53
1986-09,5.21
1986-10,5.18
1986-11,5.35
1986-12,5.53
1987-01,5.43
1987-02,5.59
1987-03,5.59
1987-04,5.64
1987-05,5.66
1987-06,5.67
1987-07,5.69
1987-08,6.04
1987-09,6.4
1987-10,6.13
1987-11,5.69
1987-12,5.77
1988-01,5.81
1988-02,5.66
1988-03,5.7
1988-04,5.91
1988-05,6.26
1988-06,6.46
1988-07,6.73
1988-08,7.06
1988-09,7.24
1988-10,7.35
1988-11,7.76
1988-12,8.07
1989-01,8.27
1989-02,8.53
1989-03,8.82
1989-04,8.65
1989-05,8.43
1989-06,8.15
1989-07,7.88
1989-08,7.9
1989-09,7.75
1989-10,7.64
1989-11,7.69
1989-12,7.63
1990-01,7.64
1990-02,7.74
1990-03,7.9
1990-04,7.77
1990-05,7.74
1990-06,7.73
1990-07,7.62
1990-08,7.45
1990-09,7.36
1990-10,7.17
1990-11,7.06
1990-12,6.74
1991-01,6.22
1991-02,5.94
1991-03,5.91
1991-04,5.65
1991-05,5.46
1991-06,5.57
1991-07,5.58
1991-08,5.33
1991-09,5.22
1991-10,4.99
1991-11,4.56
1991-12,4.07
1992-01,3.8
1992-02,3.84
1992-03,4.04
1992-04,3.75
1992-05,3.63
1992-06,3.66
1992-07,3.21
1992-08,3.13
1992-09,2.91
1992-10,2.86
1992-11,3.13
1992-12,3.22
1993-01,3.0
1993-02,2.93
1993-03,2.95
1993-04,2.87
1993-05,2.96
1993-06,3.07
1993-07,3.04
1993-08,3.02
1993-09,2.95
1993-10,3.02
1993-11,3.1
1993-12,3.06
1994-01,2.98
1994-02,3.25
1994-03,3.5
1994-04,3.68
1994-05,4.14
1994-06,4.14
1994-07,4.33
1994-08,4.48
1994-09,4.62
1994-10,4.95
1994-11,5.29
1994-12,5.6
1995-01,5.71
1995-02,5.77
1995-03,5.73
1995-04,5.65
1995-05,5.67
1995-06,5.47
1995-07,5.42
1995-08,5.4
1995-09,5.28
1995-10,5.28
1995-11,5.36
1995-12,5.14
1996-01,5.0
1996-02,4.83
1996-03,4.96
1996-04,4.95
1996-05,5.02
1996-06,5.09
1996-07,5.15
1996-08,5.05
1996-09,5.09
1996-10,4.99
1996-11,5.03
1996-12,4.91
1997-01,5.03
1997-02,5.01
1997-03,5.14
1997-04,5.16
1997-05,5.05
1997-06,4.93
1997-07,5.05
1997-08,5.14
1997-09,4.95
1997-10,4.97
1997-11,5.14
1997-12,5.16
1998-01,5.04
1998-02,5.09
1998-03,5.03
1998-04,4.95
1998-05,5.0
1998-06,4.98
1998-07,4.96
1998-08,4.9
1998-09,4.61
1998-10,3.96
1998-11,4.41
1998-12,4.39
1999-01,4.34
1999-02,4.44
1999-03,4.44
1999-04,4.29
1999-05,4.5
1999-06,4.57
1999-07,4.55
1999-08,4.72
1999-09,4.68
1999-10,4.86
1999-11,5.07
1999-12,5.2
2000-01,5.32
2000-02,5.55
2000-03,5.69
2000-04,5.66
2000-05,5.79
2000-06,5.69
2000-07,5.96
2000-08,6.09
2000-09,6.0
2000-10,6.11
2000-11,6.17
2000-12,5.77
2001-01,5.15
2001-02,4.88
2001-03,4.42
2001-04,3.87
2001-05,3.62
2001-06,3.49
2001-07,3.51
2001-08,3.36
2001-09,2.64
2001-10,2.16
2001-11,1.87
2001-12,1.69
2002-01,1.65
2002-02,1.72
2002-03,1.79
2002-04,1.71
2002-05,1.73
2002-06,1.7
2002-07,1.68
2002-08,1.62
2002-09,1.63
2002-10,1.58
2002-11,1.23
2002-12,1.19
2003-01,1.17
2003-02,1.17
2003-03,1.13
2003-04,1.13
2003-05,1.07
2003-06,0.92
2003-07,0.9
2003-08,0.95
2003-09,0.94
2003-10,0.92
2003-11,0.93
2003-12,0.9
2004-01,0.88
2004-02,0.93
2004-03,0.94
2004-04,0.94
2004-05,1.02
2004-06,1.27
2004-07,1.33
2004-08,1.48
2004-09,1.65
2004-10,1.76
2004-11,2.07
2004-12,2.19
2005-01,2.33
2005-02,2.54
2005-03,2.74
2005-04,2.78
2005-05,2.84
2005-06,2.97
2005-07,3.22
2005-08,3.44
2005-09,3.42
2005-10,3.71
2005-11,3.88
2005-12,3.89
2006-01,4.24
2006-02,4.43
2006-03,4.51
2006-04,4.6
2006-05,4.72
2006-06,4.79
2006-07,4.95
2006-08,4.96
2006-09,4.81
2006-10,4.92
2006-11,4.94
2006-12,4.85
2007-01,4.98
2007-02,5.03
2007-03,4.94
2007-04,4.87
2007-05,4.73
2007-06,4.61
2007-07,4.82
2007-08,4.2
2007-09,3.89
2007-10,3.9
2007-11,3.27
2007-12,3.0
2008-01,2.75
2008-02,2.12
2008-03,1.26
2008-04,1.29
2008-05,1.73
2008-06,1.86
2008-07,1.63
2008-08,1.72
2008-09,1.13
2008-10,0.67
2008-11,0.19
2008-12,0.03
2009-01,0.13
2009-02,0.3
2009-03,0.21
2009-04,0.16
2009-05,0.18
2009-06,0.18
2009-07,0.18
2009-08,0.17
2009-09,0.12
2009-10,0.07
2009-11,0.05
2009-12,0.05
2010-01,0.06
2010-02,0.11
2010-03,0.15
2010-04,0.16
2010-05,0.16
2010-06,0.12
2010-07,0.16
2010-08,0.16
2010-09,0.15
2010-10,0.13
2010-11,0.14
2010-12,0.14
2011-01,0.15
2011-02,0.13
2011-03,0.1
2011-04,0.06
2011-05,0.04
2011-06,0.04
2011-07,0.04
2011-08,0.02
2011-09,0.01
2011-10,0.02
2011-11,0.01
2011-12,0.01
2012-01,0.03
2012-02,0.09
2012-03,0.08
2012-04,0.08
2012-05,0.09
2012-06,0.09
2012-07,0.1
2012-08,0.1
2012-09,0.11
2012-10,0.1
2012-11,0.09
2012-12,0.07
2013-01,0.07
2013-02,0.1
2013-03,0.09
2013-04,0.06
2013-05,0.04
2013-06,0.05
2013-07,0.04
2013-08,0.04
2013-09,0.02
2013-10,0.05
2013-11,0.07
2013-12,0.07
2014-01,0.04
2014-02,0.05
2014-03,0.05
2014-04,0.03
2014-05,0.03
2014-06,0.04
2014-07,0.03
2014-08,0.03
2014-09,0.02
2014-10,0.02
2014-11,0.02
2014-12,0.03
2015-01,0.03
2015-02,0.02
2015-03,0.03
2015-04,0.02
2015-05,0.02
2015-06,0.02
2015-07,0.03
2015-08,0.07
2015-09,0.02
2015-10,0.02
2015-11,0.12
2015-12,0.23
2016-01,0.26
2016-02,0.31
2016-03,0.29
2016-04,0.23
2016-05,0.27
2016-06,0.27
2016-07,0.3
2016-08,0.3
2016-09,0.29
2016-10,0.33
2016-11,0.45
2016-12,0.51
2017-01,0.51
2017-02,0.52
2017-03,0.74
2017-04,0.8
2017-05,0.89
2017-06,0.98
2017-07,1.07
2017-08,1.01
2017-09,1.03
2017-10,1.07
2017-11,1.23
2017-12,1.32
2018-01,1.41
2018-02,1.57
2018-03,1.7
2018-04,1.76
2018-05,1.86
2018-06,1.9
2018-07,1.96
2018-08,2.03
2018-09,2.13
2018-10,2.25
2018-11,2.33
2018-12,2.37
2019-01,2.37
2019-02,2.39
2019-03,2.4
2019-04,2.38
2019-05,2.35
2019-06,2.17
2019-07,2.1
2019-08,1.95
2019-09,1.89
2019-10,1.65
2019-11,1.54
2019-12,1.54
2020-01,1.52
2020-02,1.52
2020-03,0.29
2020-04,0.14
2020-05,0.13
2020-06,0.16
2020-07,0.13
2020-08,0.1
2020-09,0.11
2020-10,0.1
2020-11,0.09
2020-12,0.09
2021-01,0.08
2021-02,0.04
2021-03,0.03
2021-04,0.02
2021-05,0.02
2021-06,0.04
2021-07,0.05
2021-08,0.05
2021-09,0.04
2021-10,0.05
2021-11,0.05
2021-12,0.06
2022-01,0.15
2022-02,0.33
2022-03,0.44
2022-04,0.76
2022-05,0.98
2022-06,1.49
2022-07,2.23
2022-08,2.63
2022-09,3.13
2022-10,3.72
2022-11,4.15
2022-12,4.25
2023-01,4.54
2023-02,4.65
2023-03,4.69
