,uranium
1992-01,8.75
1992-02,7.9
1992-03,7.75
1992-04,7.75
1992-05,7.55
1992-06,7.75
1992-07,7.75
1992-08,8.05
1992-09,8.75
1992-10,10.25
1992-11,10.5
1992-12,10.0
1993-01,9.8
1993-02,10.1
1993-03,10.2
1993-04,10.35
1993-05,10.1
1993-06,10.3
1993-07,9.9
1993-08,10.05
1993-09,10.2
1993-10,10.18
1993-11,9.9
1993-12,9.85
1994-01,9.45
1994-02,9.45
1994-03,9.3
1994-04,9.25
1994-05,9.25
1994-06,9.25
1994-07,9.1
1994-08,9.05
1994-09,9.45
1994-10,9.5
1994-11,9.6
1994-12,10.4
1995-01,10.78
1995-02,11.15
1995-03,11.8
1995-04,11.85
1995-05,11.9
1995-06,11.7
1995-07,11.7
1995-08,11.7
1995-09,11.85
1995-10,11.85
1995-11,11.85
1995-12,11.85
1996-01,12.2
1996-02,15.75
1996-03,15.75
1996-04,15.99
1996-05,16.38
1996-06,16.5
1996-07,16.5
1996-08,16.46
1996-09,16.15
1996-10,15.74
1996-11,15.07
1996-12,14.76
1997-01,14.49
1997-02,13.81
1997-03,13.62
1997-04,12.83
1997-05,11.83
1997-06,10.94
1997-07,10.49
1997-08,10.39
1997-09,10.25
1997-10,11.28
1997-11,12.75
1997-12,12.5
1998-01,12.04
1998-02,11.38
1998-03,10.66
1998-04,10.75
1998-05,10.75
1998-06,10.75
1998-07,10.61
1998-08,10.5
1998-09,10.23
1998-10,9.61
1998-11,8.88
1998-12,8.49
1999-01,9.01
1999-02,9.2
1999-03,10.44
1999-04,10.85
1999-05,10.73
1999-06,10.56
1999-07,10.26
1999-08,10.11
1999-09,9.92
1999-10,9.76
1999-11,9.71
1999-12,9.64
2000-01,9.55
2000-02,9.39
2000-03,9.31
2000-04,9.14
2000-05,8.5
2000-06,8.23
2000-07,8.1
2000-08,7.96
2000-09,7.57
2000-10,7.4
2000-11,7.13
2000-12,7.14
2001-01,7.1
2001-02,7.39
2001-03,7.69
2001-04,8.23
2001-05,9.0
2001-06,8.78
2001-07,8.75
2001-08,8.95
2001-09,9.15
2001-10,9.47
2001-11,9.43
2001-12,9.5
2002-01,9.59
2002-02,9.72
2002-03,9.95
2002-04,9.75
2002-05,9.9
2002-06,9.9
2002-07,9.89
2002-08,9.85
2002-09,9.8
2002-10,9.84
2002-11,9.86
2002-12,9.88
2003-01,10.16
2003-02,10.1
2003-03,10.1
2003-04,10.1
2003-05,10.9
2003-06,10.9
2003-07,10.95
2003-08,11.24
2003-09,11.49
2003-10,12.37
2003-11,13.18
2003-12,13.35
2004-01,14.8
2004-02,16.05
2004-03,17.14
2004-04,17.75
2004-05,17.75
2004-06,17.88
2004-07,17.9
2004-08,17.9
2004-09,18.6
2004-10,20.08
2004-11,20.2
2004-12,20.5
2005-01,20.54
2005-02,21.2
2005-03,21.84
2005-04,23.14
2005-05,28.25
2005-06,29.0
2005-07,29.28
2005-08,29.65
2005-09,30.43
2005-10,32.75
2005-11,33.56
2005-12,35.53
2006-01,36.75
2006-02,37.69
2006-03,39.77
2006-04,41.1
2006-05,42.28
2006-06,44.17
2006-07,46.5
2006-08,47.44
2006-09,52.44
2006-10,56.06
2006-11,61.44
2006-12,66.57
2007-01,72.0
2007-02,76.25
2007-03,89.44
2007-04,110.43
2007-05,119.11
2007-06,136.22
2007-07,131.5
2007-08,109.6
2007-09,85.0
2007-10,77.5
2007-11,92.0
2007-12,91.8
2008-01,87.56
2008-02,76.0
2008-03,73.71
2008-04,69.44
2008-05,61.67
2008-06,59.0
2008-07,61.84
2008-08,64.5
2008-09,63.0
2008-10,48.6
2008-11,50.5
2008-12,54.33
2009-01,51.44
2009-02,47.0
2009-03,43.38
2009-04,41.72
2009-05,48.56
2009-06,51.5
2009-07,49.7
2009-08,47.19
2009-09,44.28
2009-10,46.11
2009-11,44.75
2009-12,44.44
2010-01,43.83
2010-02,42.1
2010-03,40.91
2010-04,41.33
2010-05,41.3
2010-06,40.78
2010-07,41.94
2010-08,46.06
2010-09,46.67
2010-10,48.83
2010-11,57.16
2010-12,60.63
2011-01,63.88
2011-02,65.0
2011-03,63.5
2011-04,57.82
2011-05,56.06
2011-06,55.4
2011-07,52.79
2011-08,50.68
2011-09,51.98
2011-10,52.34
2011-11,53.19
2011-12,52.18
2012-01,52.31
2012-02,52.06
2012-03,51.29
2012-04,51.3
2012-05,51.89
2012-06,50.83
2012-07,50.36
2012-08,49.25
2012-09,47.73
