Month,Stocks
2005-01,270314
2005-02,286010
2005-03,303506
2005-04,321717
2005-05,320029
2005-06,311882
2005-07,302400
2005-08,293574
2005-09,290327
2005-10,306035
2005-11,306323
2005-12,307651
2006-01,307204
2006-02,326383
2006-03,326417
2006-04,331258
2006-05,324286
2006-06,320523
2006-07,315387
2006-08,316622
2006-09,316599
2006-10,322917
2006-11,318184
2006-12,295819
2007-01,307333
2007-02,300287
2007-03,313541
2007-04,324791
2007-05,336088
2007-06,336953
2007-07,319480
2007-08,303470
2007-09,294041
2007-10,290033
2007-11,282180
2007-12,268393
2008-01,278727
2008-02,284627
2008-03,297218
2008-04,302239
2008-05,286150
2008-06,278254
2008-07,277848
2008-08,285014
2008-09,286462
2008-10,295160
2008-11,304011
2008-12,308245
2009-01,333154
2009-02,339285
2009-03,348428
2009-04,352171
2009-05,341106
2009-06,328657
2009-07,327214
2009-08,317546
2009-09,317074
2009-10,314409
2009-11,318846
2009-12,307140
2010-01,316104
2010-02,322375
2010-03,338442
2010-04,342635
2010-05,341282
2010-06,344988
2010-07,337017
2010-08,338719
2010-09,342318
2010-10,346830
2010-11,331442
2010-12,312082
2011-01,323459
2011-02,326814
2011-03,338421
2011-04,344413
2011-05,346072
2011-06,333699
2011-07,324292
2011-08,324817
2011-09,308245
2011-10,314922
2011-11,314602
2011-12,308221
2012-01,317882
2012-02,322879
2012-03,347608
2012-04,357045
2012-05,363759
2012-06,362153
2012-07,346677
2012-08,336391
2012-09,343342
2012-10,349531
2012-11,352411
2012-12,337796
2013-01,349294
2013-02,356799
2013-03,364621
2013-04,367555
2013-05,363304
2013-06,348807
2013-07,339391
2013-08,337127
2013-09,344016
2013-10,352597
2013-11,344172
2013-12,327191
2014-01,336238
2014-02,345274
2014-03,354987
2014-04,365339
2014-05,365460
2014-06,354305
2014-07,338737
2014-08,331076
2014-09,332155
2014-10,351717
2014-11,356729
2014-12,360865
2015-01,389213
2015-02,415313
2015-03,443200
2015-04,452713
2015-05,448961
2015-06,438810
2015-07,424809
2015-08,425853
2015-09,429129
2015-10,455213
2015-11,455994
2015-12,449220
2016-01,471767
2016-02,492153
2016-03,504811
2016-04,509323
2016-05,511861
2016-06,500857
2016-07,493458
2016-08,486675
2016-09,471537
2016-10,491203
2016-11,490734
2016-12,484622
2017-01,506798
2017-02,525419
2017-03,538595
2017-04,524286
2017-05,516808
2017-06,501557
2017-07,483411
2017-08,459982
2017-09,469588
2017-10,459731
2017-11,453054
2017-12,421646
2018-01,420760
2018-02,423843
2018-03,424939
2018-04,436578
2018-05,434197
2018-06,415152
2018-07,409641
2018-08,407583
2018-09,416684
2018-10,433808
2018-11,449379
2018-12,442501
2019-01,448972
2019-02,451660
2019-03,458890
2019-04,469802
2019-05,481125
2019-06,463446
2019-07,441588
2019-08,430118
2019-09,425614
2019-10,443367
2019-11,445887
2019-12,432772
2020-01,440253
2020-02,452563
2020-03,483341
2020-04,529035
2020-05,521593
2020-06,532657
2020-07,520124
2020-08,504399
2020-09,497724
2020-10,493922
2020-11,500752
2020-12,485471
2021-01,476269
2021-02,493876
2021-03,502464
2021-04,489158
2021-05,476980
2021-06,448108
2021-07,438745
2021-08,421525
2021-09,420343
2021-10,436580
2021-11,433387
2021-12,421184
2022-01,413714
2022-02,408526
2022-03,414207
2022-04,417382
2022-05,415065
2022-06,417799
2022-07,424075
2022-08,419785
2022-09,429000
2022-10,439678
2022-11,416621
2022-12,430102
2023-01,459159
2023-02,472369
2023-03,465219
2023-04,459627
2023-05,460643
2023-06,454715
2023-07,439947
2023-08,417301
2023-09,417865
2023-10,425993
2023-11,441838
2023-12,426491
2024-01,428155
2024-02,448337
2024-03,447754
2024-04,464600
2024-05,455026
2024-06,440482
2024-07,427672
2024-08,417661
2024-09,415151
2024-10,423765
2024-11,421225
2024-12,413380
2025-01,418782
2025-02,429786
2025-03,431688
2025-04,435065
2025-05,430527
2025-06,413906
2025-07,420186
2025-08,417294
2025-09,407853
2025-10,420994
2025-11,420564
2025-12,411237
2026-01,406144
2026-02,434907
2026-03,453424
2026-04,450173
2026-05,425203
