Month,Stocks
1980-01,1259978
1980-02,1252129
1980-03,1256651
1980-04,1275880
1980-05,1295623
1980-06,1319745
1980-07,1334243
1980-08,1357397
1980-09,1354333
1980-10,1333021
1980-11,1330115
1980-12,1284428
1981-01,1275283
1981-02,1272486
1981-03,1280349
1981-04,1280456
1981-05,1288276
1981-06,1267112
1981-07,1265394
1981-08,1272509
1981-09,1276726
1981-10,1269986
1981-11,1278937
1981-12,1253307
1982-01,1220580
1982-02,1186933
1982-03,1143410
1982-04,1090016
1982-05,1085695
1982-06,1096032
1982-07,1126305
1982-08,1134873
1982-09,1136080
1982-10,1147826
1982-11,1165240
1982-12,1136097
1983-01,1151867
1983-02,1124126
1983-03,1059748
1983-04,1056646
1983-05,1066682
1983-06,1072973
1983-07,1085762
1983-08,1107745
1983-09,1124334
1983-10,1140289
1983-11,1138264
1983-12,1074548
1984-01,1044800
1984-02,1076142
1984-03,1052492
1984-04,1064863
1984-05,1091719
1984-06,1088846
1984-07,1089152
1984-08,1068043
1984-09,1081712
1984-10,1107087
1984-11,1113276
1984-12,1105722
1985-01,1054602
1985-02,1002262
1985-03,997897
1985-04,1008499
1985-05,1035580
1985-06,1034479
1985-07,1032764
1985-08,1006659
1985-09,1013189
1985-10,1005652
1985-11,1031933
1985-12,1025453
1986-01,1040921
1986-02,1018445
1986-03,991666
1986-04,980712
1986-05,1005945
1986-06,1041106
1986-07,1069332
1986-08,1077323
1986-09,1111590
1986-10,1102934
1986-11,1102549
1986-12,1080947
1987-01,1071103
1987-02,1046661
1987-03,1036703
1987-04,1017264
1987-05,1016617
1987-06,1020773
1987-07,1028464
1987-08,1060027
1987-09,1071815
1987-10,1074325
1987-11,1096401
1987-12,1066803
1988-01,1054274
1988-02,1031548
1988-03,1014329
1988-04,1031040
1988-05,1065831
1988-06,1061753
1988-07,1077775
1988-08,1071374
1988-09,1073734
1988-10,1074424
1988-11,1072602
1988-12,1037717
1989-01,1058723
1989-02,1037122
1989-03,1002214
1989-04,1027638
1989-05,1052201
1989-06,1035940
1989-07,1074513
1989-08,1079059
1989-09,1090277
1989-10,1079691
1989-11,1083667
1989-12,1001562
1990-01,1049091
1990-02,1053722
1990-03,1059634
1990-04,1056770
1990-05,1085339
1990-06,1098355
1990-07,1122386
1990-08,1108919
1990-09,1108619
1990-10,1085087
1990-11,1067847
1990-12,1034941
1991-01,1000891
1991-02,991780
1991-03,989131
1991-04,1009456
1991-05,1057624
1991-06,1065036
1991-07,1066462
1991-08,1079462
1991-09,1094373
1991-10,1075536
1991-11,1078683
1991-12,1048446
1992-01,1041719
1992-02,1019103
1992-03,1002314
1992-04,1014542
1992-05,1033924
1992-06,1033614
1992-07,1050163
1992-08,1050690
1992-09,1064170
1992-10,1066761
1992-11,1061793
1992-12,1017250
1993-01,1043156
1993-02,1026492
1993-03,1012595
1993-04,1034863
1993-05,1067388
1993-06,1083978
1993-07,1098995
1993-08,1091874
1993-09,1079727
1993-10,1101821
1993-11,1099203
1993-12,1060139
1994-01,1034732
1994-02,998683
1994-03,993928
1994-04,999486
1994-05,1021223
1994-06,1032514
1994-07,1062663
1994-08,1067673
1994-09,1091838
1994-10,1080922
1994-11,1095361
1994-12,1061115
1995-01,1051720
1995-02,1016035
1995-03,1009339
1995-04,1009707
1995-05,1020009
1995-06,1017285
1995-07,1032766
1995-08,1022648
1995-09,1028024
1995-10,1014995
1995-11,1012354
1995-12,971212
1996-01,952623
1996-02,908657
1996-03,892647
1996-04,915146
1996-05,933739
1996-06,962043
1996-07,967109
1996-08,967809
1996-09,977804
1996-10,964075
1996-11,951931
1996-12,941600
1997-01,937200
1997-02,918201
1997-03,948083
1997-04,954112
1997-05,997585
1997-06,1011358
1997-07,995553
1997-08,1006699
1997-09,1028829
1997-10,1034370
1997-11,1036089
1997-12,996330
1998-01,1006340
1998-02,1005179
1998-03,1023521
1998-04,1050648
1998-05,1088555
1998-06,1087273
1998-07,1098073
1998-08,1105432
1998-09,1089064
1998-10,1085404
1998-11,1103260
1998-12,1075570
1999-01,1070152
1999-02,1063405
1999-03,1048168
1999-04,1051638
1999-05,1083947
1999-06,1067505
1999-07,1067951
1999-08,1046753
1999-09,1039371
1999-10,1012787
1999-11,1001392
1999-12,925690
2000-01,908950
2000-02,896840
2000-03,906889
2000-04,936019
2000-05,948328
2000-06,957061
2000-07,969283
2000-08,960429
2000-09,956564
2000-10,942158
2000-11,957908
2000-12,926869
2001-01,936853
2001-02,931225
2001-03,941766
2001-04,979176
2001-05,1011995
2001-06,1019750
2001-07,1024596
2001-08,1004515
2001-09,1034180
2001-10,1031781
2001-11,1040432
2001-12,1036108
2002-01,1036048
2002-02,1016474
2002-03,1011336
2002-04,1021697
2002-05,1039687
2002-06,1039686
2002-07,1032300
2002-08,1014085
2002-09,986837
2002-10,983412
2002-11,982567
2002-12,948819
2003-01,905156
2003-02,861205
2003-03,875231
2003-04,896497
2003-05,929784
2003-06,951215
2003-07,958027
2003-08,953672
2003-09,973605
2003-10,970807
2003-11,964607
2003-12,929915
2004-01,915198
2004-02,910267
2004-03,918649
2004-04,922155
2004-05,948726
2004-06,968504
2004-07,980436
2004-08,985215
2004-09,971231
2004-10,966865
2004-11,983456
2004-12,969205
2005-01,951396
2005-02,964389
2005-03,956276
2005-04,993930
2005-05,1019655
2005-06,1027092
2005-07,1028368
2005-08,999218
2005-09,994616
2005-10,1015049
2005-11,1027710
2005-12,997007
2006-01,1013056
2006-02,1018226
2006-03,988777
2006-04,996204
2006-05,1018569
2006-06,1024666
2006-07,1038895
2006-08,1058721
2006-09,1081033
2006-10,1064036
2006-11,1040170
2006-12,1014444
2007-01,1018204
2007-02,960329
2007-03,971659
2007-04,987221
2007-05,1016248
2007-06,1022209
2007-07,1025952
2007-08,1008151
2007-09,1006661
2007-10,996320
2007-11,976925
2007-12,950692
2008-01,960721
2008-02,947137
2008-03,936926
2008-04,947445
2008-05,952350
2008-06,962536
2008-07,973490
2008-08,985884
2008-09,984435
2008-10,991722
2008-11,1012646
2008-12,1017321
2009-01,1043692
2009-02,1052873
2009-03,1071396
2009-04,1078517
2009-05,1091096
2009-06,1101909
2009-07,1107678
2009-08,1091589
2009-09,1105322
2009-10,1081998
2009-11,1069770
2009-12,1031720
2010-01,1034601
2010-02,1033715
2010-03,1036733
2010-04,1059076
2010-05,1079284
2010-06,1089881
2010-07,1104313
2010-08,1110895
2010-09,1109565
2010-10,1096726
2010-11,1076810
2010-12,1043058
2011-01,1057418
2011-02,1028180
2011-03,1025115
2011-04,1028138
2011-05,1055108
2011-06,1056938
2011-07,1072267
2011-08,1073725
2011-09,1058309
2011-10,1046070
2011-11,1045340
2011-12,1023627
2012-01,1043161
2012-02,1038578
2012-03,1055732
2012-04,1057948
2012-05,1071372
2012-06,1083586
2012-07,1085472
2012-08,1073488
2012-09,1093169
2012-10,1083500
2012-11,1083597
2012-12,1079635
2013-01,1082150
2013-02,1060731
2013-03,1062970
2013-04,1077036
2013-05,1087626
2013-06,1089581
2013-07,1088486
2013-08,1092940
2013-09,1102230
2013-10,1078460
2013-11,1057516
2013-12,1028391
2014-01,1014822
2014-02,1016434
2014-03,1024715
2014-04,1055249
2014-05,1086501
2014-06,1090035
2014-07,1094393
2014-08,1100275
2014-09,1114459
2014-10,1108302
2014-11,1117029
2014-12,1130817
2015-01,1152442
2015-02,1152601
2015-03,1185550
2015-04,1211294
2015-05,1231063
2015-06,1239859
2015-07,1236871
2015-08,1259250
2015-09,1268492
2015-10,1276691
2015-11,1291322
2015-12,1283924
2016-01,1315557
2016-02,1320013
2016-03,1325631
2016-04,1336288
2016-05,1351698
2016-06,1351026
2016-07,1368759
2016-08,1369030
2016-09,1353362
2016-10,1354106
2016-11,1356508
2016-12,1329804
2017-01,1353955
2017-02,1351867
2017-03,1336590
2017-04,1336451
2017-05,1346971
2017-06,1328086
2017-07,1316756
2017-08,1304890
2017-09,1300949
2017-10,1269640
2017-11,1259334
2017-12,1229170
2018-01,1215207
2018-02,1209995
2018-03,1195838
2018-04,1200885
2018-05,1209938
2018-06,1206827
2018-07,1212586
2018-08,1231858
2018-09,1271188
2018-10,1260222
2018-11,1257772
2018-12,1258938
2019-01,1265013
2019-02,1248314
2019-03,1245210
2019-04,1263632
2019-05,1307124
2019-06,1304166
2019-07,1309075
2019-08,1300685
2019-09,1298387
2019-10,1285569
2019-11,1283238
2019-12,1281880
2020-01,1299893
2020-02,1282713
2020-03,1326722
2020-04,1403599
2020-05,1432238
2020-06,1457703
2020-07,1453988
2020-08,1437578
2020-09,1423181
2020-10,1386329
2020-11,1388724
2020-12,1343348
2021-01,1337103
2021-02,1303068
2021-03,1310947
2021-04,1298812
2021-05,1303867
2021-06,1281364
2021-07,1278117
2021-08,1250204
2021-09,1250940
2021-10,1252967
2021-11,1233748
2021-12,1198612
2022-01,1190103
2022-02,1165614
2022-03,1154238
2022-04,1153830
2022-05,1172156
2022-06,1180410
2022-07,1215318
2022-08,1212672
2022-09,1215559
2022-10,1230514
2022-11,1226777
2022-12,1222592
2023-01,1253794
2023-02,1266706
2023-03,1229974
2023-04,1245582
2023-05,1260044
2023-06,1263076
2023-07,1269932
2023-08,1258558
2023-09,1282427
2023-10,1263633
2023-11,1263984
2023-12,1251418
2024-01,1232142
2024-02,1222322
2024-03,1231518
2024-04,1259189
2024-05,1276455
2024-06,1279342
2024-07,1287060
