,usd_major
1973-01,108.1883
1973-02,103.7461
1973-03,100.0
1973-04,100.8251
1973-05,100.0602
1973-06,98.2137
1973-07,96.2593
1973-08,97.6969
1973-09,97.9176
1973-10,97.4852
1973-11,100.3968
1973-12,101.9438
1974-01,105.8441
1974-02,103.5867
1974-03,101.365
1974-04,99.9415
1974-05,99.0618
1974-06,100.2628
1974-07,101.1439
1974-08,102.9385
1974-09,103.4849
1974-10,102.988
1974-11,102.4275
1974-12,101.5325
1975-01,100.4226
1975-02,99.2063
1975-03,98.5195
1975-04,99.9521
1975-05,100.1414
1975-06,100.2862
1975-07,102.918
1975-08,104.8298
1975-09,105.587
1975-10,105.515
1975-11,105.28
1975-12,105.9985
1976-01,105.623
1976-02,105.2674
1976-03,106.0512
1976-04,106.6371
1976-05,106.8158
1976-06,107.0655
1976-07,106.5489
1976-08,106.3905
1976-09,105.7385
1976-10,106.2007
1976-11,106.9242
1976-12,107.761
1977-01,107.1214
1977-02,107.2946
1977-03,107.5026
1977-04,106.9384
1977-05,106.9392
1977-06,106.7656
1977-07,105.5779
1977-08,106.409
1977-09,106.7154
1977-10,105.4842
1977-11,104.0708
1977-12,102.1449
1978-01,101.1363
1978-02,100.9685
1978-03,100.0591
1978-04,99.651
1978-05,100.5824
1978-06,98.7346
1978-07,96.1824
1978-08,94.0373
1978-09,94.2446
1978-10,92.0243
1978-11,94.3154
1978-12,94.5567
1979-01,94.4591
1979-02,95.0459
1979-03,95.1171
1979-04,95.8872
1979-05,96.6392
1979-06,96.4419
1979-07,94.3467
1979-08,94.7934
1979-09,94.7793
1979-10,96.195
1979-11,97.6023
1979-12,95.9483
1980-01,95.0717
1980-02,95.828
1980-03,98.941
1980-04,99.818
1980-05,95.4137
1980-06,93.1524
1980-07,92.9805
1980-08,94.166
1980-09,93.1623
1980-10,93.4495
1980-11,95.6447
1980-12,96.6179
1981-01,96.0263
1981-02,99.119
1981-03,99.465
1981-04,101.5272
1981-05,104.7946
1981-06,107.039
1981-07,109.6456
1981-08,111.3557
1981-09,108.376
1981-10,107.7176
1981-11,105.5155
1981-12,105.4629
1982-01,107.143
1982-02,110.4267
1982-03,112.3217
1982-04,113.6438
1982-05,111.5298
1982-06,116.9883
1982-07,118.3241
1982-08,118.6365
1982-09,119.543
1982-10,121.5483
1982-11,121.5614
1982-12,117.4352
1983-01,115.6864
1983-02,117.1515
1983-03,118.3134
1983-04,118.8161
1983-05,118.3912
1983-06,120.6164
1983-07,121.4957
1983-08,123.4772
1983-09,123.2106
1983-10,121.0874
1983-11,122.7739
1983-12,124.3378
1984-01,125.355
1984-02,123.6175
1984-03,121.3992
1984-04,122.6857
1984-05,125.6014
1984-06,126.4933
1984-07,130.7488
1984-08,130.5608
1984-09,133.9208
1984-10,135.133
1984-11,133.3776
1984-12,136.1546
1985-01,138.9668
1985-02,143.5295
1985-03,143.9059
1985-04,138.4922
1985-05,138.7587
1985-06,137.1548
1985-07,132.3093
1985-08,130.3278
1985-09,131.468
1985-10,124.5693
1985-11,122.2847
1985-12,121.4046
1986-01,120.1897
1986-02,115.7162
1986-03,113.2825
1986-04,112.223
1986-05,109.5738
1986-06,110.3052
1986-07,107.3615
1986-08,105.5317
1986-09,105.4336
1986-10,105.5044
1986-11,107.0987
1986-12,106.1015
1987-01,101.8453
1987-02,100.297
1987-03,99.3084
1987-04,96.8727
1987-05,96.2103
1987-06,97.7501
1987-07,99.2907
1987-08,98.9041
1987-09,96.8285
1987-10,96.4423
1987-11,92.5121
1987-12,89.6784
1988-01,89.6179
1988-02,90.5721
1988-03,89.0744
1988-04,87.9947
1988-05,88.3378
1988-06,89.9762
1988-07,92.7828
1988-08,94.01
1988-09,94.0403
1988-10,91.2933
1988-11,88.8012
1988-12,88.439
1989-01,90.5499
1989-02,90.9714
1989-03,92.2971
1989-04,92.6078
1989-05,95.5648
1989-06,97.92
1989-07,95.1119
1989-08,95.7525
1989-09,97.109
1989-10,95.1042
1989-11,94.7829
1989-12,93.1117
1990-01,92.4069
1990-02,92.449
1990-03,94.3127
1990-04,94.308
1990-05,93.0176
1990-06,93.0054
1990-07,90.468
1990-08,88.1775
1990-09,87.0211
1990-10,84.4191
1990-11,83.7726
1990-12,85.0981
1991-01,85.0127
1991-02,83.7732
1991-03,88.176
1991-04,89.8699
1991-05,90.4827
1991-06,92.2858
1991-07,92.0878
1991-08,90.9057
1991-09,89.1465
1991-10,88.2639
1991-11,86.7001
1991-12,85.5114
1992-01,85.6063
1992-02,87.3721
1992-03,89.6101
1992-04,89.2531
1992-05,88.1551
1992-06,86.2159
1992-07,84.2025
1992-08,83.4086
1992-09,84.1096
1992-10,86.2203
1992-11,89.9252
1992-12,90.193
1993-01,91.5019
1993-02,91.4854
1993-03,90.4383
1993-04,88.2591
1993-05,87.9304
1993-06,88.4614
1993-07,89.9177
1993-08,89.5033
1993-09,88.9738
1993-10,89.8907
1993-11,90.991
1993-12,91.6579
1994-01,92.0125
1994-02,91.0888
1994-03,90.5499
1994-04,90.5378
1994-05,89.7509
1994-06,88.9217
1994-07,86.8658
1994-08,87.1754
1994-09,85.963
1994-10,85.0543
1994-11,85.7144
1994-12,87.4288
1995-01,87.0693
1995-02,86.1688
1995-03,83.0625
1995-04,80.3362
1995-05,80.8635
1995-06,80.785
1995-07,80.8926
1995-08,83.4992
1995-09,84.9979
1995-10,84.1406
1995-11,84.5153
1995-12,85.2453
1996-01,86.4515
1996-02,86.642
1996-03,86.572
1996-04,87.0968
1996-05,87.5114
1996-06,87.7483
1996-07,87.3526
1996-08,86.8362
1996-09,87.5221
1996-10,87.8157
1996-11,86.9309
1996-12,88.4365
1997-01,90.037
1997-02,92.7027
1997-03,93.4943
1997-04,94.6117
1997-05,92.995
1997-06,92.4723
1997-07,93.5046
1997-08,95.4748
1997-09,95.0566
1997-10,94.4301
1997-11,95.0094
1997-12,97.2629
1998-01,98.4877
1998-02,97.5548
1998-03,97.9324
1998-04,98.3954
1998-05,98.7707
1998-06,100.4721
1998-07,101.1034
1998-08,102.6502
1998-09,98.6347
1998-10,95.3302
1998-11,96.2024
1998-12,95.4093
1999-01,94.6572
1999-02,96.036
1999-03,98.0392
1999-04,98.1666
1999-05,98.2185
1999-06,99.065
1999-07,99.3562
1999-08,97.3265
1999-09,95.998
1999-10,94.9648
1999-11,95.9657
1999-12,96.3719
2000-01,96.2136
2000-02,98.4583
2000-03,98.8272
2000-04,99.5215
2000-05,102.6169
2000-06,100.0416
2000-07,100.9438
2000-08,102.5467
2000-09,104.1728
2000-10,105.8427
2000-11,106.8124
2000-12,104.7761
2001-01,103.6415
2001-02,105.0203
2001-03,107.5067
2001-04,108.6567
2001-05,108.7539
2001-06,109.7461
2001-07,109.8218
2001-08,107.3581
2001-09,106.9473
2001-10,107.8031
2001-11,109.2168
2001-12,109.7793
2002-01,111.3816
2002-02,112.1691
2002-03,111.163
2002-04,110.3582
2002-05,107.3113
2002-06,104.518
2002-07,101.9745
2002-08,103.3988
2002-09,103.5872
2002-10,104.0872
2002-11,102.6163
2002-12,101.6043
2003-01,98.9759
2003-02,97.865
2003-03,97.1276
2003-04,96.8236
2003-05,92.2556
2003-06,91.2138
2003-07,93.0043
2003-08,94.2303
2003-09,92.5581
2003-10,88.9261
2003-11,88.6025
2003-12,86.3604
2004-01,84.582
2004-02,85.0562
2004-03,86.6056
2004-04,87.5935
2004-05,89.0798
2004-06,87.6726
2004-07,86.5625
2004-08,86.8152
2004-09,86.3632
2004-10,84.3904
2004-11,81.1077
2004-12,80.2393
2005-01,81.1769
2005-02,81.9351
2005-03,81.0021
2005-04,82.347
2005-05,83.5081
2005-06,85.0292
2005-07,85.8171
2005-08,84.2686
2005-09,83.8193
2005-10,85.1168
2005-11,86.5749
2005-12,85.809
