,yen
1971-01,358.02
1971-02,357.545
1971-03,357.5187
1971-04,357.5032
1971-05,357.413
1971-06,357.4118
1971-07,357.4043
1971-08,355.78
1971-09,338.021
1971-10,331.1105
1971-11,328.752
1971-12,320.0727
1972-01,312.72
1972-02,305.187
1972-03,302.5365
1972-04,303.5605
1972-05,304.3795
1972-06,302.4145
1972-07,301.0305
1972-08,301.1609
1972-09,301.119
1972-10,301.011
1972-11,300.9885
1972-12,301.2405
1973-01,301.7882
1973-02,278.4206
1973-03,261.9014
1973-04,265.4914
1973-05,264.6505
1973-06,264.4981
1973-07,264.5538
1973-08,265.22
1973-09,265.4747
1973-10,266.3348
1973-11,278.2625
1973-12,280.1775
1974-01,298.1336
1974-02,291.0872
1974-03,282.1648
1974-04,277.7741
1974-05,278.9664
1974-06,282.97
1974-07,290.98
1974-08,302.2836
1974-09,299.084
1974-10,299.3645
1974-11,300.075
1974-12,300.4114
1975-01,299.6845
1975-02,291.6583
1975-03,287.9486
1975-04,292.1968
1975-05,291.4305
1975-06,293.4662
1975-07,296.3741
1975-08,297.9762
1975-09,299.909
1975-10,302.3364
1975-11,302.5453
1975-12,305.67
1976-01,304.6357
1976-02,301.5944
1976-03,300.5183
1976-04,299.1086
1976-05,299.004
1976-06,299.1909
1976-07,294.641
1976-08,290.6259
1976-09,287.361
1976-10,291.189
1976-11,295.1653
1976-12,294.7017
1977-01,291.0524
1977-02,285.0221
1977-03,280.2265
1977-04,275.2071
1977-05,277.4262
1977-06,272.8609
1977-07,264.8632
1977-08,266.6774
1977-09,266.77
1977-10,254.7445
1977-11,244.7026
1977-12,241.0229
1978-01,241.081
1978-02,240.3722
1978-03,231.8574
1978-04,221.857
1978-05,226.1786
1978-06,214.1064
1978-07,199.6955
1978-08,188.7096
1978-09,189.9195
1978-10,183.631
1978-11,192.1425
1978-12,195.955
1979-01,197.755
1979-02,200.5072
1979-03,206.3236
1979-04,216.2852
1979-05,218.4141
1979-06,218.5967
1979-07,216.51
1979-08,217.9257
1979-09,222.4137
1979-10,230.4845
1979-11,244.9842
1979-12,240.3745
1980-01,237.8886
1980-02,244.35
1980-03,248.4786
1980-04,250.275
1980-05,228.6286
1980-06,217.9176
1980-07,221.1364
1980-08,223.9138
1980-09,214.4167
1980-10,209.3227
1980-11,213.1059
1980-12,209.4886
1981-01,202.3667
1981-02,205.7167
1981-03,208.7918
1981-04,214.9759
1981-05,220.6285
1981-06,224.1805
1981-07,232.3261
1981-08,233.3262
1981-09,229.481
1981-10,231.519
1981-11,223.1267
1981-12,218.9545
1982-01,224.805
1982-02,235.3056
1982-03,241.2283
1982-04,244.1068
1982-05,236.9635
1982-06,251.1977
1982-07,255.031
1982-08,259.0455
1982-09,263.2857
1982-10,271.615
1982-11,264.0879
1982-12,241.9413
1983-01,232.731
1983-02,236.1211
1983-03,238.2543
1983-04,237.7467
1983-05,234.7557
1983-06,240.0314
1983-07,240.516
1983-08,244.4613
1983-09,242.3462
1983-10,232.8855
1983-11,235.03
1983-12,234.4624
1984-01,233.8
1984-02,233.5963
1984-03,225.2664
1984-04,225.2
1984-05,230.4777
1984-06,233.5657
1984-07,243.0676
1984-08,242.2609
1984-09,245.4568
1984-10,246.7545
1984-11,243.6305
1984-12,247.964
1985-01,254.1829
1985-02,260.4778
1985-03,257.9205
1985-04,251.8455
1985-05,251.7295
1985-06,248.84
1985-07,241.1364
1985-08,237.4609
1985-09,236.5275
1985-10,214.6805
1985-11,204.0737
1985-12,202.7881
1986-01,199.8905
1986-02,184.8516
1986-03,178.6938
1986-04,175.0918
1986-05,167.0314
1986-06,167.5419
1986-07,158.6059
1986-08,154.1771
1986-09,154.7314
1986-10,156.4723
1986-11,162.8494
1986-12,162.0523
1987-01,154.8295
1987-02,153.4068
1987-03,151.4332
1987-04,142.8986
1987-05,140.479
1987-06,144.5495
1987-07,150.2939
1987-08,147.3343
1987-09,143.291
1987-10,143.32
1987-11,135.3974
1987-12,128.2418
1988-01,127.6853
1988-02,129.1665
1988-03,127.1139
1988-04,124.8976
1988-05,124.7871
1988-06,127.4655
1988-07,133.0215
1988-08,133.7661
1988-09,134.3176
1988-10,128.6805
1988-11,123.202
1988-12,123.6076
1989-01,127.3625
1989-02,127.7374
1989-03,130.5504
1989-04,132.0365
1989-05,137.8636
1989-06,143.9809
1989-07,140.424
1989-08,141.4852
1989-09,145.07
1989-10,142.2067
1989-11,143.5343
1989-12,143.685
1990-01,144.9819
1990-02,145.6932
1990-03,153.3082
1990-04,158.4586
1990-05,154.0441
1990-06,153.6957
1990-07,149.0395
1990-08,147.4609
1990-09,138.4405
1990-10,129.5909
1990-11,129.2155
1990-12,133.889
1991-01,133.6986
1991-02,130.5358
1991-03,137.3867
1991-04,137.1127
1991-05,138.2218
1991-06,139.7475
1991-07,137.83
1991-08,136.8164
1991-09,134.2995
1991-10,130.7723
1991-11,129.6321
1991-12,128.0395
1992-01,125.4614
1992-02,127.6989
1992-03,132.8627
1992-04,133.5395
1992-05,130.771
1992-06,126.8355
