,houst
1959-01,1657.0
1959-02,1667.0
1959-03,1620.0
1959-04,1590.0
1959-05,1498.0
1959-06,1503.0
1959-07,1547.0
1959-08,1430.0
1959-09,1540.0
1959-10,1355.0
1959-11,1416.0
1959-12,1601.0
1960-01,1460.0
1960-02,1503.0
1960-03,1109.0
1960-04,1289.0
1960-05,1271.0
1960-06,1247.0
1960-07,1197.0
1960-08,1344.0
1960-09,1097.0
1960-10,1246.0
1960-11,1246.0
1960-12,1063.0
1961-01,1183.0
1961-02,1226.0
1961-03,1312.0
1961-04,1166.0
1961-05,1228.0
1961-06,1382.0
1961-07,1335.0
1961-08,1312.0
1961-09,1429.0
1961-10,1415.0
1961-11,1385.0
1961-12,1365.0
1962-01,1361.0
1962-02,1278.0
1962-03,1443.0
1962-04,1524.0
1962-05,1483.0
1962-06,1404.0
1962-07,1450.0
1962-08,1517.0
1962-09,1324.0
1962-10,1533.0
1962-11,1622.0
1962-12,1564.0
1963-01,1244.0
1963-02,1456.0
1963-03,1534.0
1963-04,1689.0
1963-05,1641.0
1963-06,1588.0
1963-07,1614.0
1963-08,1639.0
1963-09,1763.0
1963-10,1779.0
1963-11,1622.0
1963-12,1491.0
1964-01,1603.0
1964-02,1820.0
1964-03,1517.0
1964-04,1448.0
1964-05,1467.0
1964-06,1550.0
1964-07,1562.0
1964-08,1569.0
1964-09,1455.0
1964-10,1524.0
1964-11,1486.0
1964-12,1484.0
1965-01,1361.0
1965-02,1433.0
1965-03,1423.0
1965-04,1438.0
1965-05,1478.0
1965-06,1488.0
1965-07,1529.0
1965-08,1432.0
1965-09,1482.0
1965-10,1452.0
1965-11,1460.0
1965-12,1656.0
1966-01,1370.0
1966-02,1378.0
1966-03,1394.0
1966-04,1352.0
1966-05,1265.0
1966-06,1194.0
1966-07,1086.0
1966-08,1119.0
1966-09,1046.0
1966-10,843.0
1966-11,961.0
1966-12,990.0
1967-01,1067.0
1967-02,1123.0
1967-03,1056.0
1967-04,1091.0
1967-05,1304.0
1967-06,1248.0
1967-07,1364.0
1967-08,1407.0
1967-09,1421.0
1967-10,1491.0
1967-11,1538.0
1967-12,1308.0
1968-01,1380.0
1968-02,1520.0
1968-03,1466.0
1968-04,1554.0
1968-05,1408.0
1968-06,1405.0
1968-07,1512.0
1968-08,1495.0
1968-09,1556.0
1968-10,1569.0
1968-11,1630.0
1968-12,1548.0
1969-01,1769.0
1969-02,1705.0
1969-03,1561.0
1969-04,1524.0
1969-05,1583.0
1969-06,1528.0
1969-07,1368.0
1969-08,1358.0
1969-09,1507.0
1969-10,1381.0
1969-11,1229.0
1969-12,1327.0
1970-01,1085.0
1970-02,1305.0
1970-03,1319.0
1970-04,1264.0
1970-05,1290.0
1970-06,1385.0
1970-07,1517.0
1970-08,1399.0
1970-09,1534.0
1970-10,1580.0
1970-11,1647.0
1970-12,1893.0
1971-01,1828.0
1971-02,1741.0
1971-03,1910.0
1971-04,1986.0
1971-05,2049.0
1971-06,2026.0
1971-07,2083.0
1971-08,2158.0
1971-09,2041.0
1971-10,2128.0
1971-11,2182.0
1971-12,2295.0
1972-01,2494.0
1972-02,2390.0
1972-03,2334.0
1972-04,2249.0
1972-05,2221.0
1972-06,2254.0
1972-07,2252.0
1972-08,2382.0
1972-09,2481.0
1972-10,2485.0
1972-11,2421.0
1972-12,2366.0
1973-01,2481.0
1973-02,2289.0
1973-03,2365.0
1973-04,2084.0
1973-05,2266.0
1973-06,2067.0
1973-07,2123.0
1973-08,2051.0
1973-09,1874.0
1973-10,1677.0
1973-11,1724.0
1973-12,1526.0
1974-01,1451.0
1974-02,1752.0
1974-03,1555.0
1974-04,1607.0
1974-05,1426.0
