,wei
2008-01,1.805
2008-02,1.325
2008-03,1.308
2008-04,1.3900000000000001
2008-05,0.968
2008-06,0.8925000000000001
2008-07,0.9075
2008-08,0.6759999999999999
2008-09,0.1425
2008-10,-0.35250000000000004
2008-11,-1.16
2008-12,-2.255
2009-01,-2.742
2009-02,-3.13
2009-03,-2.975
2009-04,-3.1
2009-05,-3.024
2009-06,-3.2225
2009-07,-3.055
2009-08,-2.516
2009-09,-1.6575
2009-10,-0.706
2009-11,0.7375
2009-12,1.8475000000000001
2010-01,2.112
2010-02,3.1
2010-03,3.705
2010-04,3.95
2010-05,4.474
2010-06,4.32
2010-07,4.18
2010-08,3.91
2010-09,3.8225
2010-10,3.4259999999999997
2010-11,3.3475
2010-12,3.625
2011-01,3.3280000000000003
2011-02,3.0175
2011-03,2.91
2011-04,2.832
2011-05,2.33
2011-06,2.315
2011-07,2.3600000000000003
2011-08,2.245
2011-09,2.09
2011-10,2.278
2011-11,2.2325
2011-12,2.08
2012-01,1.7025
2012-02,1.7974999999999999
2012-03,1.984
2012-04,2.315
2012-05,2.485
2012-06,2.2359999999999998
2012-07,2.13
2012-08,2.1725
2012-09,2.32
2012-10,2.1825
2012-11,2.01
2012-12,2.17
2013-01,2.6374999999999997
2013-02,2.2975000000000003
2013-03,2.0260000000000002
2013-04,1.785
2013-05,1.745
2013-06,2.148
2013-07,2.2725
2013-08,2.2800000000000002
2013-09,2.4899999999999998
2013-10,2.3475
2013-11,2.7359999999999998
2013-12,2.4425
2014-01,1.9025
2014-02,2.0725
2014-03,2.702
2014-04,2.645
2014-05,2.712
2014-06,2.4225000000000003
2014-07,2.5175
2014-08,2.682
2014-09,2.5675
2014-10,2.6950000000000003
2014-11,2.69
2014-12,3.1225
2015-01,2.716
2015-02,2.6625
2015-03,2.275
2015-04,2.26
2015-05,2.016
2015-06,2.075
2015-07,1.935
2015-08,1.952
2015-09,1.8975
2015-10,1.7579999999999998
2015-11,1.205
2015-12,1.0125
2016-01,0.8879999999999999
2016-02,1.38
2016-03,1.1725
2016-04,1.404
2016-05,1.7075
2016-06,1.6
2016-07,1.8
2016-08,1.7925
2016-09,1.655
2016-10,1.834
2016-11,2.1525
2016-12,2.4799999999999995
2017-01,1.9825
2017-02,2.32
2017-03,2.7625
2017-04,2.618
2017-05,2.55
2017-06,2.39
2017-07,2.502
2017-08,2.5075
2017-09,2.462
2017-10,2.6625
2017-11,2.6175
2017-12,2.682
2018-01,2.8225
2018-02,2.5425
2018-03,2.482
2018-04,2.465
2018-05,2.545
2018-06,2.518
2018-07,2.495
2018-08,2.675
2018-09,3.084
2018-10,2.8049999999999997
2018-11,2.74
2018-12,2.6719999999999997
2019-01,2.3175
2019-02,2.0975
2019-03,2.122
2019-04,2.2725
2019-05,2.0225
2019-06,2.038
2019-07,1.9949999999999999
2019-08,1.83
2019-09,1.74
2019-10,1.6824999999999999
2019-11,1.7759999999999998
2019-12,1.7374999999999998
2020-01,1.5925
2020-02,1.768
2020-03,-0.475
2020-04,-7.27
2020-05,-7.248
2020-06,-5.46
2020-07,-4.41
2020-08,-3.224
2020-09,-2.6375
2020-10,-1.64
2020-11,-0.9375
2020-12,-0.2525
2021-01,0.15
2021-02,-0.065
2021-03,3.1725000000000003
2021-04,9.8275
2021-05,9.975999999999999
2021-06,8.555
2021-07,7.5
2021-08,6.835
2021-09,6.720000000000001
2021-10,6.172
2021-11,5.8075
2021-12,5.945
2022-01,5.108
2022-02,5.445
2022-03,4.7075
2022-04,4.486
2022-05,3.9775
2022-06,3.3449999999999998
2022-07,3.316
2022-08,3.2075
2022-09,2.825
2022-10,2.43
2022-11,1.99
2022-12,1.6880000000000002
2023-01,1.3399999999999999
2023-02,1.3775
2023-03,1.37
2023-04,1.386
2023-05,1.2625
2023-06,1.3425
2023-07,1.534
2023-08,1.675
2023-09,1.972
2023-10,2.0975
2023-11,2.045
2023-12,2.2199999999999998
2024-01,1.8425
2024-02,1.7650000000000001
2024-03,1.8679999999999999
2024-04,1.8
2024-05,1.9749999999999999
2024-06,2.246
2024-07,2.055
2024-08,2.05
2024-09,2.1425
2024-10,2.0125
2024-11,2.1100000000000003
2024-12,2.54
2025-01,2.4625
2025-02,2.4725
2025-03,2.318
2025-04,2.665
2025-05,2.09
2025-06,2.13
2025-07,2.4625
2025-08,2.508
2025-09,2.2675
2025-10,2.2725
2025-11,2.2
2025-12,2.3325
2026-01,2.244
2026-02,2.66
2026-03,2.745
2026-04,2.725
2026-05,2.918
2026-06,2.7824999999999998
2026-07,2.7525
2026-08,2.6566666666666667
